Item	Frequency
covid	3.8199
pandemic	2.073
covid-19	1.943
this	1.5936
you	1.4191
are	1.3491
vaccine	1.2665
we	1.2304
n''t	1.0688
coronavirus	1.064
have	1.0189
not	0.9088
lockdown	0.9064
mask	0.7995
has	0.7917
i	0.7842
people	0.7749
they	0.7431
do	0.7229
all	0.6539
trump	0.5977
death	0.5929
about	0.5801
who	0.5711
virus	0.5682
if	0.5634
our	0.5426
so	0.5059
no	0.4976
wear	0.4933
my	0.4903
now	0.479
just	0.4717
what	0.4616
cases	0.4522
how	0.4336
us	0.4335
vaccinate	0.4199
out	0.4117
stay	0.404
positive	0.3817
die	0.3814
test	0.3758
new	0.3697
get	0.3668
during	0.357
hospital	0.3494
corona	0.3432
spread	0.3392
like	0.3326
health	0.3025
than	0.2936
cdc	0.289
please	0.2858
because	0.2816
me	0.2719
ðÿ	0.2641
biden	0.2624
over	0.2599
vaccination	0.2585
safe	0.2572
deaths	0.2547
why	0.2542
need	0.2537
home	0.2525
should	0.2519
did	0.2469
today	0.2457
americans	0.2391
here	0.2382
china	0.2364
variant	0.2259
day	0.2196
know	0.2187
still	0.2135
is	0.2126
distancing	0.2093
go	0.207
case	0.2068
going	0.2059
help	0.2003
india	0.1984
outbreak	0.1971
being	0.1944
social	0.1926
covid19	0.1916
crisis	0.1903
government	0.1903
does	0.1868
govt	0.1856
social distancing	0.1813
president	0.1787
take	0.1765
testing	0.1737
down	0.1737
country	0.1707
ca	0.17
says	0.1691
infection	0.1681
care	0.1681
due	0.1677
public	0.1644
uk	0.1628
want	0.1624
masks	0.1606
after	0.1606
think	0.1592
covid vaccine	0.1579
via	0.1579
days	0.1566
right	0.1522
dose	0.1518
covid-19 vaccine	0.1513
news	0.1513
world	0.1504
relief	0.1497
sick	0.1495
mandate	0.1464
flu	0.1454
everyone	0.1441
died	0.1426
let	0.14
lives	0.1396
even	0.1392
fuck	0.1389
every	0.1379
say	0.1377
tested	0.1364
against	0.1361
breaking	0.1354
been	0.1328
got	0.1321
back	0.131
million	0.1294
he	0.1269
really	0.1265
keep	0.1259
stop	0.1258
since	0.1248
months	0.1244
fauci	0.1239
more	0.1234
week	0.1215
wuhan	0.1206
omicron	0.1185
too	0.1179
response	0.1138
will	0.1136
covid case	0.1129
patients	0.1123
quarantine	0.1109
restriction	0.1103
again	0.1102
u	0.1097
public health	0.1079
patient	0.1059
never	0.1053
doing	0.1044
workers	0.1032
getting	0.1029
doctor	0.1025
shit	0.1011
wave	0.0994
immunity	0.0988
new case	0.0979
florida	0.0976
unvaccinated	0.0975
tweet	0.097
yesterday	0.0969
vote	0.0958
johnson	0.0958
covid death	0.0953
states	0.0953
risk	0.0951
last	0.0943
nhs	0.0937
bill	0.0937
protect	0.0928
media	0.0928
your	0.0928
global	0.092
covid-19 case	0.0917
thank	0.0914
weeks	0.0912
live	0.0904
w	0.0902
economy	0.0899
blame	0.0898
deadly	0.0897
shot	0.0892
trump''s	0.0882
infected	0.0874
house	0.0872
kid	0.087
surge	0.0869
healthcare	0.0858
face	0.0857
pfizer	0.0857
tests	0.0852
icu	0.0848
â	0.0841
exam	0.0836
money	0.0835
epidemic	0.0832
students	0.0831
medical	0.083
amid	0.0824
jab	0.0823
delta	0.0813
america	0.0812
done	0.0809
yet	0.0796
lost	0.0792
thing	0.0792
away	0.079
read	0.0787
real	0.0781
schools	0.0775
pm	0.0772
covid-19 pandemic	0.077
fight	0.077
total	0.0767
already	0.0762
cancel	0.0759
wo	0.0753
anyone	0.0751
wearing	0.075
hope	0.0748
rate	0.0746
rt	0.0745
nothing	0.0745
gop	0.0736
trying	0.0734
booster	0.0719
job	0.0716
staff	0.0713
put	0.0703
u.s.	0.0702
reported	0.0696
s	0.0696
twitter	0.0694
numbers	0.0692
told	0.0686
boris	0.0681
ppl	0.0681
joe	0.0679
worker	0.0674
covid test	0.0671
chinese	0.067
election	0.0668
confirmed	0.0664
saying	0.0663
recovery	0.0662
corona virus	0.0661
white	0.0661
coronavirus case	0.066
literally	0.0658
oxygen	0.0658
daily	0.0657
state	0.0657
watch	0.0655
ever	0.0654
tell	0.0651
toll	0.0647
modi	0.0645
bad	0.0645
fully	0.0645
dead	0.0643
believe	0.0643
passport	0.0643
kids	0.0642
ago	0.0642
shut	0.0639
pay	0.0638
from	0.0636
someone	0.0632
dr.	0.0629
support	0.0629
lock	0.0627
fake	0.0625
tomorrow	0.0619
covid patient	0.0616
à	0.0616
global pandemic	0.0612
gonna	0.0612
protest	0.061
remember	0.0608
countries	0.0608
must	0.0605
coming	0.0601
plan	0.0599
hard	0.0598
nurse	0.0598
covid relief	0.0597
republicans	0.0597
american	0.0591
save	0.0588
families	0.0585
refuse	0.0585
governor	0.0585
zero	0.0584
person	0.0584
economic	0.0583
year	0.0583
restrictions	0.0578
sir	0.0572
disease	0.0571
situation	0.0569
everything	0.0569
infect	0.0568
millions	0.0565
reminder	0.0565
vax	0.0563
friends	0.0551
democrats	0.0548
school	0.0547
follow	0.0546
hospitals	0.0544
stupid	0.0543
taking	0.0542
panic	0.054
republican	0.0538
bc	0.0537
thousands	0.0535
travel	0.0535
christmas	0.0532
hit	0.0529
symptom	0.0529
doctors	0.0528
delhi	0.0528
hands	0.0526
continue	0.0525
middle	0.0524
reopen	0.0523
latest	0.0521
coronavirus pandemic	0.0519
reports	0.0518
texas	0.0518
soon	0.0516
thanks	0.0515
month	0.0515
gov	0.0511
police	0.0511
businesses	0.0509
donald	0.0503
symptoms	0.0503
rules	0.0502
safety	0.0502
unemployment	0.0498
update	0.0497
