Item	Frequency
covid-19	7.7921
covid	3.8742
people	2.8992
china	1.845
india	1.5214
americans	1.3556
trump	1.3021
cdc	1.188
biden	1.0613
coronavirus	1.0034
lockdown	0.9111
america	0.885
florida	0.7996
masks	0.7673
millions	0.5857
home	0.5553
u.s.	0.5017
vaccines	0.4833
texas	0.4642
thousands	0.4471
american	0.4447
republicans	0.4443
cases	0.4336
wuhan	0.4164
covid19	0.4153
children	0.408
social distancing	0.3906
pandemic	0.3903
corona	0.3888
deaths	0.3755
democrats	0.3743
schools	0.3663
students	0.3638
second	0.349
congress	0.3482
icu	0.3445
canada	0.3434
joe biden	0.3244
donald trump	0.3188
chinese	0.317
lives	0.3096
work	0.299
months	0.2936
kids	0.2935
fauci	0.286
school	0.2713
life	0.2697
daily	0.2619
death	0.2605
europe	0.2586
australia	0.253
patients	0.2497
california	0.2409
boris johnson	0.2333
nhs	0.232
things	0.2275
money	0.2201
risk	0.2196
england	0.2185
omicron	0.2152
johnson	0.2141
new york	0.2118
gop	0.2117
vaccine	0.2049
fda	0.2032
hospitals	0.2023
control	0.2011
years	0.1918
london	0.1916
senate	0.1909
tonight	0.1876
delhi	0.1871
ppe	0.1855
italy	0.1843
science	0.1824
doctors	0.1824
care	0.1738
scotland	0.1723
hospital	0.1696
health	0.1681
vaccination	0.1664
new zealand	0.1655
south africa	0.1649
government	0.1638
place	0.1628
germany	0.1594
republican	0.1578
russia	0.1572
data	0.1559
cnn	0.1555
covid cases	0.1554
christmas	0.154
god	0.1506
pfizer	0.1501
hundreds	0.1496
japan	0.1482
weeks	0.1476
indian	0.1476
testing	0.1472
women	0.1462
staff	0.1449
brazil	0.1445
lockdowns	0.144
sweden	0.1417
israel	0.1409
friends	0.1397
france	0.1396
families	0.1392
nyc	0.135
food	0.1334
healthcare	0.1319
september	0.1309
exams	0.1305
businesses	0.1301
ontario	0.1291
georgia	0.1291
afghanistan	0.1287
restrictions	0.1286
pakistan	0.1269
symptoms	0.1259
ron desantis	0.1221
order	0.1186
support	0.1182
help	0.1178
president trump	0.116
workers	0.1154
states	0.1152
usa	0.1142
parents	0.1136
twitter	0.1132
mask	0.1131
africa	0.1116
white house	0.1107
fear	0.1101
family	0.1083
days	0.1081
half	0.1078
govt	0.1075
scientists	0.1069
quarantine	0.1059
power	0.105
covid patients	0.1042
britain	0.1041
access	0.1037
jobs	0.1036
washington	0.1025
teachers	0.0997
hong kong	0.0984
police	0.0974
nurses	0.097
arizona	0.0941
public health	0.0938
infection	0.0938
president	0.0937
politics	0.0933
covid deaths	0.0932
ccp	0.0924
desantis	0.0918
covid relief	0.0914
south korea	0.0901
action	0.0897
dr. fauci	0.0893
experts	0.0891
corona virus	0.089
course	0.089
freedom	0.0881
virus	0.0878
spain	0.0867
state	0.0858
alberta	0.0856
decades	0.0855
ivermectin	0.0852
office	0.0851
vaccinations	0.0844
nigeria	0.0843
mitch mcconnell	0.0841
history	0.0841
iran	0.0838
billions	0.083
case	0.0829
wales	0.082
restaurants	0.0815
michigan	0.081
treatment	0.0809
mexico	0.0794
countries	0.0787
night	0.0782
contact	0.0781
next week	0.0776
hospitalizations	0.0773
ireland	0.0773
evidence	0.0769
safety	0.0763
transmission	0.0761
hours	0.0754
nursing homes	0.0752
canadians	0.0752
cuomo	0.0752
taiwan	0.0751
winter	0.0745
supreme court	0.0743
delta	0.0737
brexit	0.0731
malaysia	0.0731
climate change	0.0726
tests	0.0726
media	0.0725
lots	0.0716
law	0.0707
moderna	0.0706
covid vaccines	0.0704
age	0.0703
thanks	0.0703
matt hancock	0.0702
oxygen	0.0702
mumbai	0.0689
response	0.0688
folks	0.0684
british	0.0683
education	0.0681
ppl	0.0679
infections	0.0678
humanity	0.0677
kerala	0.0676
melbourne	0.0675
need	0.0674
vaccine passports	0.066
nsw	0.066
proof	0.0659
social media	0.0653
summer	0.0648
coronavirus cases	0.0647
fact	0.0643
citizens	0.0638
democrat	0.0636
business	0.0636
young people	0.0632
society	0.0632
racism	0.0632
charge	0.063
information	0.0626
immunity	0.0623
misinformation	0.0623
relief	0.0621
sydney	0.0621
lack	0.0619
date	0.0619
covid vaccine	0.0617
cancer	0.0617
questions	0.0617
texans	0.0617
mike pence	0.0611
politicians	0.0608
mcconnell	0.0604
times	0.0604
hundreds of thousands	0.0602
greg abbott	0.0601
mask mandates	0.06
sense	0.0597
thanksgiving	0.0595
obama	0.0593
tens of thousands	0.0591
hope	0.0589
chicago	0.0589
singapore	0.0589
herd immunity	0.0588
attention	0.0587
lies	0.0584
flu	0.0582
president biden	0.0579
public	0.0579
shit	0.0578
news	0.0574
korea	0.0566
travel	0.0561
medicare	0.0559
tulsa	0.0558
justice	0.0557
new cases	0.0555
south dakota	0.0555
employees	0.0554
hands	0.0553
no one	0.0549
sars	0.0547
wisconsin	0.0546
houston	0.0546
maharashtra	0.0542
adults	0.0542
ohio	0.0539
vietnam	0.0532
unemployment	0.053
numbers	0.053
love	0.0526
astrazeneca	0.0524
indians	0.0524
beijing	0.0521
trudeau	0.0518
mississippi	0.0516
toronto	0.0515
water	0.0515
residents	0.0515
line	0.0514
english	0.051
plasma	0.0509
earth	0.0506
hydroxychloroquine	0.0505
anthony fauci	0.0504
house	0.0504
muslims	0.0504
dozens	0.0502
leadership	0.0502
poverty	0.0499
natural immunity	0.0496
small businesses	0.0496
nih	0.0493
thailand	0.0492
victoria	0.049
morrison	0.0489
new york city	0.0488
man	0.0486
violence	0.0483
los angeles	0.0482
hell	0.0482
communities	0.048
philippines	0.0478
long covid	0.0476
denmark	0.0476
medicine	0.0473
officials	0.0472
prison	0.0471
weekly	0.0469
facebook	0.0465
rand paul	0.0463
health care	0.0463
humans	0.0459
how many people	0.0458
economy	0.0458
concerns	0.0457
modi	0.045
mail	0.045
spread	0.0449
protests	0.0448
joe	0.0447
alabama	0.0447
jail	0.0445
vax	0.0445
members	0.0444
next year	0.0443
isolation	0.0443
mind	0.0442
bars	0.0441
social distance	0.044
nancy pelosi	0.0438
abbott	0.0438
parliament	0.0435
research	0.0435
facts	0.0434
use	0.0434
kenya	0.0433
healthcare workers	0.0428
test	0.0427
face masks	0.0426
protection	0.0426
canadian	0.0419
bjp	0.0418
fans	0.0418
variants	0.0418
russian	0.0413
bbc	0.0413
covid restrictions	0.041
men	0.041
governments	0.041
united states	0.0409
indonesia	0.0407
companies	0.0406
asian	0.0405
democracy	0.0404
exam	0.0404
u.s	0.0404
reality	0.0404
bihar	0.0403
australian	0.0403
outbreak	0.0398
vaccine mandates	0.0397
world	0.0397
jeff bezos	0.0391
amazon	0.0391
election day	0.0391
covid-19 vaccines	0.0388
results	0.0388
terms	0.0388
lagos	0.0387
oregon	0.0386
reports	0.0385
kelly loeffler	0.0383
nfl	0.0382
another lockdown	0.0381
bts	0.038
responsibility	0.0379
ventilators	0.0377
myanmar	0.0375
solidarity	0.0374
voters	0.0373
recovery	0.0373
u.k.	0.0373
no masks	0.0372
andrew cuomo	0.0372
dominic cummings	0.0372
peace	0.0372
fun	0.0372
gujarat	0.0372
war	0.0372
concern	0.0372
antibodies	0.0371
miami	0.0371
country	0.037
vaccinated people	0.0367
dems	0.0367
danger	0.0367
resources	0.0367
louisiana	0.0367
loved ones	0.0366
