Item	Frequency	Score
social distancing	1391	10.402
coronavirus case	499	4.373
new case	494	4.339
covid-19 case	455	4.076
coronavirus pandemic	356	3.406
covid case	323	3.183
corona virus	312	3.109
covid-19 pandemic	303	3.048
public health	300	3.028
nursing home	268	2.812
ðÿ ̃	259	2.751
global pandemic	253	2.710
face mask	226	2.528
second wave	218	2.474
death toll	206	2.392
wearing mask	203	2.372
middle of a pandemic	191	2.291
new coronavirus	177	2.196
health care	174	2.176
united states	172	2.163
president trump	171	2.156
social distance	168	2.136
last week	164	2.109
death rate	164	2.109
covid patient	161	2.088
coronavirus death	151	2.021
ï ̧	148	2.000
new zealand	148	2.000
many people	148	2.000
first time	146	1.987
boris johnson	143	1.967
positive case	140	1.946
covid death	137	1.926
covid-19 patient	132	1.892
active case	130	1.879
donald trump	129	1.872
white house	127	1.858
coronavirus outbreak	127	1.858
trump administration	123	1.831
other country	122	1.825
trump rally	121	1.818
new york	120	1.811
new coronavirus case	119	1.804
mental health	116	1.784
stay home	115	1.777
covid-19 death	113	1.764
loved one	110	1.744
confirmed case	107	1.723
face covering	107	1.723
police brutality	103	1.696
young people	102	1.689
black people	96	1.649
care home	93	1.629
small business	93	1.629
last night	92	1.622
coronavirus testing	90	1.608
covid-19 crisis	89	1.602
health official	88	1.595
joe biden	88	1.595
social medium	88	1.595
good news	86	1.581
coronavirus crisis	86	1.581
contact tracing	86	1.581
covid-19 testing	85	1.575
single day	85	1.575
trump campaign	82	1.554
ten of thousands	81	1.548
covid test	80	1.541
task force	79	1.534
next week	76	1.514
prime minister	76	1.514
family member	75	1.507
same time	75	1.507
federal government	73	1.493
chinese virus	73	1.493
black lives matter	73	1.493
human right	72	1.487
pandemic situation	72	1.487
black life	72	1.487
george floyd	70	1.473
distancing rule	70	1.473
thousand of people	69	1.466
mask in public	69	1.466
american people	69	1.466
dr. fauci	69	1.466
covid-19 test	69	1.466
herd immunity	68	1.460
new death	68	1.460
social distancing rule	68	1.460
spread of #covid19	68	1.460
kung flu	66	1.446
mortality rate	66	1.446
fake news	66	1.446
covid-19 infection	65	1.439
covid-19 vaccine	65	1.439
pandemic response	65	1.439
tulsa rally	65	1.439
contact trace	63	1.426
healthcare worker	63	1.426
covid testing	63	1.426
number of cases	63	1.426
coronavirus infection	63	1.426
infection rate	62	1.419
dominic cummings	62	1.419
few week	61	1.412
testing site	61	1.412
coronavirus lockdown	61	1.412
immune system	60	1.406
front line	59	1.399
total case	59	1.399
few day	59	1.399
covid crisis	58	1.392
coronavirus test	58	1.392
icu bed	58	1.392
health insurance	57	1.385
physical distancing	57	1.385
lives matter	57	1.385
total number	57	1.385
lockdown rule	57	1.385
health expert	57	1.385
last year	56	1.379
supreme court	56	1.379
memorial day	55	1.372
corona case	55	1.372
covid-19 outbreak	53	1.358
common sense	53	1.358
student nurse	53	1.358
lot of people	53	1.358
last month	53	1.358
case of #covid19	53	1.358
spread of coronavirus	52	1.351
novel coronavirus	52	1.351
health crisis	52	1.351
press conference	52	1.351
coronavirus response	51	1.345
campaign rally	51	1.345
stay-at-home order	50	1.338
case of coronavirus	50	1.338
excess death	49	1.331
bbc news	48	1.324
few month	48	1.324
essential worker	47	1.318
new #covid19	47	1.318
trump''s rally	47	1.318
covid-19 lockdown	47	1.318
covid pandemic	47	1.318
only way	46	1.311
good morning	45	1.304
covid19 case	45	1.304
hundred of thousands	45	1.304
great job	45	1.304
mask wear	45	1.304
uk government	45	1.304
home order	45	1.304
first wave	45	1.304
trump supporter	45	1.304
country in the world	45	1.304
covid-19 response	44	1.297
south africa	44	1.297
deadly pandemic	43	1.291
private hospital	43	1.291
health worker	43	1.291
economic crisis	43	1.291
other state	43	1.291
midst of a pandemic	43	1.291
cases today	42	1.284
coronavirus vaccine	41	1.277
blm protest	41	1.277
right thing	41	1.277
hong kong	41	1.277
mass gathering	40	1.270
other people	40	1.270
systemic racism	40	1.270
total death	40	1.270
hot spot	40	1.270
white people	40	1.270
deadly virus	39	1.264
south carolina	39	1.264
covid-19 relief	39	1.264
next year	39	1.264
stock market	39	1.264
antibody test	39	1.264
high risk	39	1.264
coronavirus task force	39	1.264
difficult time	38	1.257
police officer	38	1.257
conspiracy theory	38	1.257
positive test	38	1.257
trump admin	38	1.257
test result	38	1.257
mike pence	38	1.257
coronavirus spike	38	1.257
tear gas	38	1.257
delhi govt	38	1.257
matt hancock	38	1.257
new #covid19 case	38	1.257
covid number	37	1.250
hospital bed	37	1.250
à ̧	37	1.250
positivity rate	37	1.250
distancing measure	37	1.250
new record	37	1.250
gassed immigrant	36	1.243
n95 mask	36	1.243
number of deaths	36	1.243
bill gates	36	1.243
corona warrior	36	1.243
fox news	36	1.243
infectious disease	36	1.243
north carolina	36	1.243
only thing	35	1.237
trump''s tulsa rally	35	1.237
lockdown restriction	35	1.237
social distancing measure	35	1.237
community transmission	35	1.237
long term	35	1.237
whole world	35	1.237
covid spike	35	1.237
record number	35	1.237
public transport	35	1.237
care worker	35	1.237
covid relief	35	1.237
white supremacist	35	1.237
civil right	35	1.237
long time	34	1.230
new infection	34	1.230
million of people	34	1.230
same people	34	1.230
wear mask	34	1.230
healthcare system	34	1.230
relief fund	34	1.230
climate change	34	1.230
world leader	34	1.230
pride month	34	1.230
state government	34	1.230
alert level	34	1.230
unemployment rate	34	1.230
breaking news	34	1.230
south korea	34	1.230
coronavirus patient	33	1.223
intensive care	33	1.223
wearing face	33	1.223
case count	33	1.223
corona patient	33	1.223
law enforcement	33	1.223
coronavirus task	33	1.223
covid infection	32	1.216
र ो	32	1.216
covid response	32	1.216
polling place	32	1.216
first place	32	1.216
covid-19 restriction	31	1.210
lockdown period	31	1.210
mass protest	31	1.210
coronavirus restriction	31	1.210
public health expert	31	1.210
new normal	31	1.210
black man	31	1.210
hand sanitizer	31	1.210
day in a row	31	1.210
pre-existing condition	31	1.210
civil unrest	31	1.210
migrant worker	30	1.203
health system	30	1.203
health minister	30	1.203
covid-19 virus	30	1.203
people die	30	1.203
speedy recovery	30	1.203
hard work	29	1.196
cases surge	29	1.196
staff member	29	1.196
positive patient	29	1.196
modi govt	29	1.196
business owner	29	1.196
clinical trial	29	1.196
number of people	29	1.196
live update	29	1.196
daily case	29	1.196
american life	29	1.196
voter suppression	29	1.196
health ministry	29	1.196
frontline worker	29	1.196
व ा	28	1.189
peaceful protest	28	1.189
same thing	28	1.189
new jersey	28	1.189
new study	28	1.189
recovery rate	28	1.189
face cover	28	1.189
wuhan virus	28	1.189
trans people	28	1.189
tough time	28	1.189
covid-19 update	27	1.183
cdc guideline	27	1.183
practicing social distancing	27	1.183
fatality rate	27	1.183
middle of a global pandemic	27	1.183
good job	27	1.183
economic recovery	27	1.183
blood group	27	1.183
challenging time	27	1.183
health department	27	1.183
next month	27	1.183
many state	27	1.183
supply chain	27	1.183
world health organization	27	1.183
number of coronavirus	27	1.183
spread of the virus	27	1.183
rest of the world	27	1.183
coronavirus death toll	27	1.183
covid19 pandemic	27	1.183
care act	27	1.183
underlying condition	26	1.176
photo op	26	1.176
navajo nation	26	1.176
close contact	26	1.176
public health crisis	26	1.176
covid warrior	26	1.176
thousand of lives	26	1.176
worldwide pandemic	26	1.176
coronavirus spread	26	1.176
swine flu	26	1.176
detention center	26	1.176
public health official	26	1.176
full lockdown	26	1.176
coronavirus briefing	26	1.176
lockdown measure	26	1.176
black tran	25	1.169
स ा	25	1.169
executive order	25	1.169
pregnant woman	25	1.169
saudi arabia	25	1.169
new post	25	1.169
dr. anthony fauci	25	1.169
covid outbreak	25	1.169
grocery store	25	1.169
wearing face mask	25	1.169
many time	25	1.169
human life	25	1.169
many life	25	1.169
past week	25	1.169
local government	25	1.169
care system	25	1.169
china virus	25	1.169
र ्	25	1.169
coronavirus update	25	1.169
deaths today	25	1.169
final year	25	1.169
health care worker	25	1.169
new york city	24	1.162
health issue	24	1.162
र ् व	24	1.162
single person	24	1.162
pm modi	24	1.162
full story	24	1.162
new #coronavirus	24	1.162
asymptomatic spread	24	1.162
covid situation	24	1.162
medical care	24	1.162
racial injustice	24	1.162
contact tracer	24	1.162
single-day increase	24	1.162
high school	24	1.162
heart attack	24	1.162
double standard	24	1.162
र ो न	24	1.162
great news	24	1.162
saving life	24	1.162
staying home	24	1.162
व े दव ि जय क	23	1.155
व े दव ि	23	1.155
ल श ् व	23	1.155
ल श ् व ा	23	1.155
ल श ्	23	1.155
र ् व े दव	23	1.155
र ो न ि ल श	23	1.155
ल श	23	1.155
न ि ल श ्	23	1.155
र ो न ि	23	1.155
न ि ल श ् व	23	1.155
न ि ल श	23	1.155
दव ि जय क	23	1.155
दव ि जय क ो	23	1.155
जय क ो र ो न	23	1.155
जय क	23	1.155
दव ि जय क ो र	23	1.155
जय क ो	23	1.155
जय क ो र	23	1.155
जय क ो र ो	23	1.155
व े दव	23	1.155
large gathering	23	1.155
hard time	23	1.155
federal judge	23	1.155
र ् व े	23	1.155
corona pandemic	23	1.155
damn mask	23	1.155
job loss	23	1.155
न ि	23	1.155
ongoing pandemic	23	1.155
दव ि	23	1.155
आय ु र	23	1.155
impact of #covid19	23	1.155
record high	23	1.155
year student	23	1.155
taking care	23	1.155
distancing guideline	23	1.155
आय ु र ्	23	1.155
test kit	23	1.155
lung transplant	23	1.155
next time	23	1.155
public place	23	1.155
good thing	23	1.155
rise in cases	23	1.155
आय ु र ् व	23	1.155
व े	23	1.155
social distancing guideline	23	1.155
spike in coronavirus	23	1.155
civil war	23	1.155
covid-19 treatment	22	1.149
covid19 death	22	1.149
us coronavirus	22	1.149
great depression	22	1.149
first day	22	1.149
political issue	22	1.149
daily coronavirus	22	1.149
entire world	22	1.149
people live	22	1.149
indoor rally	22	1.149
consecutive day	22	1.149
wave of coronavirus	22	1.149
reported case	22	1.149
recovered patient	22	1.149
red state	22	1.149
domestic violence	22	1.149
old people	22	1.149
daily increase	22	1.149
corona crisis	22	1.149
death count	22	1.149
month of lockdown	22	1.149
case number	22	1.149
human being	22	1.149
humanitarian crisis	22	1.149
daily record	22	1.149
vulnerable people	22	1.149
people protest	22	1.149
good time	22	1.149
murder hornet	22	1.149
greg abbott	21	1.142
great work	21	1.142
last time	21	1.142
community of color	21	1.142
covid-19 situation	21	1.142
new case of coronavirus	21	1.142
big deal	21	1.142
covid-19 hospitalization	21	1.142
social justice	21	1.142
same day	21	1.142
covid spread	21	1.142
online class	21	1.142
father''s day	21	1.142
medical professional	21	1.142
start of the pandemic	21	1.142
asymptomatic people	21	1.142
testing kit	21	1.142
telling people	21	1.142
economic impact	21	1.142
race war	21	1.142
nursing homes	21	1.142
health problem	21	1.142
president @realdonaldtrump	21	1.142
death certificate	21	1.142
covid19 crisis	21	1.142
good luck	21	1.142
medical supply	21	1.142
health condition	21	1.142
white supremacy	21	1.142
european country	21	1.142
coronavirus relief	21	1.142
police reform	20	1.135
new yorkers	20	1.135
new york times	20	1.135
need plasma	20	1.135
people of color	20	1.135
new outbreak	20	1.135
र ी	20	1.135
republican governor	20	1.135
rise in coronavirus	20	1.135
covid lockdown	20	1.135
post covid	20	1.135
disabled people	20	1.135
other side	20	1.135
breathing problem	20	1.135
face shield	20	1.135
covid19 patient	20	1.135
health care system	20	1.135
spike in coronavirus cases	20	1.135
practice social distancing	20	1.135
safety measure	20	1.135
handling of the coronavirus	20	1.135
latin america	20	1.135
campaign staffer	20	1.135
cases rise	20	1.135
need #blood type	19	1.128
need #blood	19	1.128
large group	19	1.128
new research	19	1.128
government official	19	1.128
plasma therapy	19	1.128
killing people	19	1.128
travel restriction	19	1.128
fact check	19	1.128
all-time high	19	1.128
vast majority	19	1.128
emergency use	19	1.128
covid update	19	1.128
new report	19	1.128
right time	19	1.128
culture war	19	1.128
conducting exam	19	1.128
increased testing	19	1.128
health secretary	19	1.128
mask use	19	1.128
other day	19	1.128
many country	19	1.128
deep state	19	1.128
mass testing	19	1.128
lockdown order	19	1.128
spread of the coronavirus	19	1.128
wash hand	19	1.128
essential service	19	1.128
covid-19 number	19	1.128
los angeles	19	1.128
press release	19	1.128
race riot	19	1.128
long line	19	1.128
hand washing	19	1.128
protective equipment	19	1.128
fucking mask	19	1.128
black woman	19	1.128
blood component	19	1.128
व ा स ा र	18	1.122
ल श ् व ा स	18	1.122
component : need plasma	18	1.122
communist party	18	1.122
स ा र	18	1.122
number of new coronavirus	18	1.122
व ा स	18	1.122
side effect	18	1.122
स ा र ि	18	1.122
poor people	18	1.122
व ा स ा	18	1.122
precautionary measure	18	1.122
new high	18	1.122
cases increase	18	1.122
government''s handling	18	1.122
mail-in ballot	18	1.122
new way	18	1.122
र ा	18	1.122
trans woman	18	1.122
public safety	18	1.122
र ि	18	1.122
health emergency	18	1.122
rising case	18	1.122
pandemic time	18	1.122
dead people	18	1.122
toilet paper	18	1.122
tory mp	18	1.122
american death	18	1.122
real life	18	1.122
press briefing	18	1.122
hospital bill	18	1.122
current pandemic	18	1.122
few case	18	1.122
spike in cases	18	1.122
delhi government	18	1.122
west bengal	18	1.122
high street	18	1.122
black community	18	1.122
absentee ballot	18	1.122
happy birthday	18	1.122
second wave of coronavirus	18	1.122
