Item	Frequency	Score
covid	12107	1615.679
lockdown	3150	340.761
ðÿ	487	331.365
pandemic	7150	246.792
covid19	479	246.296
vaccinate	1321	242.173
vaccine	6179	181.063
fauci	316	165.916
covid-19	6101	145.754
corona	658	133.696
astrazeneca	297	126.711
biden	1405	109.310
vaccination	1302	101.234
coronavirus	1745	92.866
desantis	179	88.966
cdc	842	77.339
distancing	447	72.825
cuomo	299	71.271
anti-asian	102	70.752
govt	429	67.620
moderna	122	66.790
vax	117	65.020
wuhan	202	64.594
mask	2767	64.490
jab	298	62.943
birx	90	62.436
anti-lockdown	86	61.730
post-pandemic	95	60.186
pfizer	232	59.469
retweet	119	55.269
ivermectin	89	54.421
pre-pandemic	80	50.877
sars-cov-2	122	49.331
post-covid	76	48.281
pre-covid	73	47.689
ppl	178	45.192
icu	174	40.459
rollout	178	40.376
gov	169	37.927
breaking	261	37.458
magufuli	54	37.452
jandj	47	34.885
psaki	49	34.053
positivity	119	34.016
hospitalization	169	31.615
unvaccinated	56	31.601
walensky	41	30.326
mar-a-lago	47	29.955
gqp	40	29.795
curfew	104	27.511
variant	725	27.229
dems	120	26.806
virus	1368	26.371
quarantine	225	26.222
seuss	57	25.818
relief	1496	25.524
non-covid	35	25.420
icymi	35	24.340
boris	179	24.229
maskless	33	23.904
dose	962	23.886
texans	111	23.882
gop	316	22.648
flu	343	22.613
covaxin	30	22.385
lmao	48	22.089
abbott	164	22.039
ppe	82	21.900
trillion	348	21.857
ï	95	21.807
uhuru	38	21.802
manchin	37	21.521
asymptomatic	68	21.294
holi	41	21.084
spreader	50	20.945
rt	206	20.863
reopen	301	20.813
ecq	28	20.567
ccp	78	20.450
oxford-astrazeneca	27	20.380
hesitancy	36	20.285
outbreak	434	19.945
frontline	126	19.927
cases	53	19.788
maharashtra	120	19.663
post-lockdown	27	19.529
aapi	28	19.310
ð	31	19.059
sanchaung	25	19.008
bioweapon	29	18.912
c19	28	18.677
n95	34	18.615
aiims	30	18.612
clot	108	18.587
biontech	27	18.528
mrna	92	18.479
yall	36	18.452
reinfection	27	18.136
bolsonaro	39	17.759
floridian	39	17.746
noem	25	17.701
neanderthal	52	17.494
whitmer	39	17.363
pfizer-biontech	23	17.318
sunak	25	17.065
whitty	26	17.005
covid-related	25	16.985
epidemic	236	16.906
b117	22	16.745
immunity	213	16.519
filibuster	44	16.372
hoax	90	16.344
newsom	43	16.185
pelosi	80	16.045
incompetence	66	15.597
kreme	25	15.524
smh	29	15.500
kung	58	15.486
epidemiologist	38	15.419
ðÿš	20	15.417
stimulus	248	15.281
billionaire	105	15.260
