Item	Frequency	Score
mitch mcconnell	585	0.294233138786785
social distancing	401	0.4417929742046527
covid relief	325	0.8109162591283431
donald trump	265	0.3397000284559954
rudy giuliani	260	0.12845974131840338
kelly loeffler	251	0.23058883623309012
new zealand	229	0.25992779202085187
new york	221	0.31907377229755907
david perdue	198	0.25186448256341604
south africa	177	0.2968690299875441
joe biden	167	0.3112896970032767
small businesses	159	0.4377912993654067
boris johnson	156	0.17936148182776765
covid cases	144	0.7153138192260255
next week	137	0.4222698345070077
white house	135	0.2853430062807217
rebekah jones	130	0.09516968479724568
president trump	128	0.291152590788375
next year	123	0.5328547885312508
ron desantis	113	0.19354208470459772
christmas eve	113	0.2179161607733433
south korea	111	0.2315755115530179
los angeles	109	0.18037896984220136
san francisco	107	0.15998619410911932
covid vaccine	105	0.7430665899286939
healthcare workers	101	0.4021019606316934
stimulus checks	101	0.2715083643018954
christmas day	98	0.2830308589687254
marco rubio	91	0.07691996460452483
nancy pelosi	88	0.14631936306631027
covid patients	87	0.6598875680378958
social distance	86	0.34165922392286946
tom cruise	86	0.06661909596024347
hundreds of thousands	85	0.13482801801300345
covid deaths	85	0.6274894969468932
dr. fauci	84	0.33678331498986014
herd immunity	82	0.29897495495764354
no one	82	0.14513704133265018
new year	82	0.35406374812082714
ron johnson	80	0.12604674541553748
merry christmas	80	0.18401016755027902
public health	77	0.4382955145839473
covid-19 vaccines	76	0.3130452443595455
jeff bezos	76	0.1488874027458013
coronavirus cases	72	0.4579511998780803
luke letlow	71	0.03975494751407864
jenna ellis	70	0.03120446347258303
covid restrictions	68	0.6021618725661054
bill clinton	67	0.06468625970703225
ted cruz	67	0.1184487907213991
climate change	65	0.24283084510763497
covid vaccines	65	0.623362913838248
hong kong	65	0.15121191588581814
united states	63	0.18900969076565902
new cases	61	0.45919545596557687
zhang zhan	61	0.05367165864968314
george w. bush	60	0.04972928617314618
world war ii	60	0.1406888552146752
bill gates	59	0.20407592789805856
nursing homes	58	0.3306762027806267
loved ones	58	0.3310773808883646
scott atlas	57	0.0761512482545836
corona virus	57	0.38063204464002837
health care	57	0.3257335051530121
susan moore	57	0.08918334739345102
body bags	56	0.14511826847321443
almost a year	55	0.07696938750476004
covid-19 vaccine	54	0.3238636882021377
unemployment benefits	54	0.16539263447472743
how many people	54	0.28323271123272076
anthony fauci	53	0.19700254557650268
joel osteen	53	0.09115512801061548
nicola sturgeon	52	0.1035801899662837
health care workers	52	0.43846743164201696
u.s. deaths	52	0.08482698361572683
matt hancock	51	0.11711609096262433
gavin newsom	51	0.14046199744540097
doug ford	51	0.13103260122730193
essential workers	50	0.2714050537745915
paid sick leave	49	0.14868801227804
coronavirus vaccine	49	0.5291056724879966
elaine chao	49	0.08299703023778295
social media	48	0.32499329300611257
tom brady	48	0.097407008407898
william shakespeare	48	0.029928259389914308
years eve	48	0.15894701552975787
tens of thousands	47	0.10826430022894575
jared kushner	47	0.13385822824289406
pearl harbor	47	0.11063360094608561
rupert murdoch	47	0.07008888276372753
steven mnuchin	46	0.04544500702851964
sick leave	46	0.11147046324010286
north carolina	45	0.13887892639131086
home order	45	0.21770070032501115
new years eve	45	0.196856364923598
devin nunes	45	0.09958332012023134
margaret keenan	44	0.046765197324923166
tyson foods	43	0.10366912981692418
scott morrison	43	0.1010508684575071
survival checks	43	0.17469505970744434
nbc news	42	0.09973333944745014
emergency use	42	0.09508608063871611
black people	42	0.31106986223108163
mike pence	42	0.08007432559734841
dr. susan moore	42	0.15045608169442762
young people	41	0.40608915325431355
mental health	41	0.35209168243703326
kanye west	40	0.07249245951555339
so many people	40	0.17692440054394537
mary ann	40	0.029711680591109277
lewis hamilton	39	0.055787937939337534
earlier this year	39	0.10272161934289605
months ago	39	0.08499295316683594
fox news	38	0.14431111801519853
tucker carlson	38	0.07958748551946966
charley pride	38	0.038705431708939766
lindsey graham	38	0.03671725027899187
direct payments	37	0.1785356025778379
supreme court	37	0.14688285705787113
new jersey	37	0.11380461666940132
saudi arabia	37	0.11131875355806653
new variant	37	0.2589184934271153
walter reed	36	0.08411365810966917
frontline workers	36	0.24589402560726992
face masks	36	0.2335594536813922
pandemic relief	35	0.23670860960480067
tax cuts	35	0.1317909471518366
new york city	35	0.1827447529542543
modi ji	35	0.06461835083882769
american citizens	35	0.13255484219926064
north dakota	34	0.13030334725101544
rick scott	34	0.051117163216271126
coronavirus vaccines	34	0.4631920847070486
covid rules	34	0.35301330282508053
southern california	34	0.14864384066734396
next june	34	0.03841065320742312
health canada	34	0.07238078490610651
operation warp speed	33	0.13295805006746367
hundreds of millions	32	0.052505664477012555
no time	32	0.11593138197785625
tax breaks	32	0.1982568966103548
orange county	32	0.12800869960476968
covid tests	32	0.29117906947088656
san diego	32	0.09625085940557358
rand paul	32	0.046597954120366505
united kingdom	31	0.07325772696474118
barack obama	31	0.06615632827754042
andrew cuomo	31	0.11434956476159364
healthy people	31	0.23154723728282453
american lives	30	0.19965176838644794
good news	30	0.22567379797308032
september 11th	30	0.05592912383990975
south dakota	29	0.12451747457770268
pfizers coronavirus vaccine	29	0.2469371603466623
pfizers covid-19 vaccine	29	0.16566497578151362
coronavirus relief	29	0.23014881661978986
rich people	29	0.2484691691784353
when covid	29	0.1864597349981847
