Item	Frequency	Score
covid-19	12746	0.5300285516537827
people	3956	0.6121923323662788
covid	3461	0.6428569703513249
trump	2818	0.41568379237803244
coronavirus	2296	0.7341815289728685
americans	2252	0.29278893865271
florida	2018	0.3029586293621519
america	1856	0.30197865731723833
china	1733	0.32766348035673876
masks	1627	0.6059079140014595
cdc	1462	0.29366820940575844
india	1335	0.31818378076739806
lockdown	1168	0.4922449381019507
texas	990	0.2919465267783316
schools	902	0.4279390275309644
u.s.	861	0.4918645476914132
covid19	785	0.6039956577828289
american	784	0.27369901471793034
cases	749	0.5944711268453198
corona	740	0.3387890090675496
millions	736	0.2778786870832029
home	705	0.4064384406312075
months	673	0.3741322264096005
fauci	642	0.2584767771764211
school	604	0.4349044270077763
deaths	602	0.5083257645888574
students	588	0.3654571088654124
thousands	565	0.26734707898186355
work	517	0.3422387041527166
republicans	506	0.2519023352733004
control	504	0.286751225925671
lives	502	0.42310355140926353
europe	483	0.243647630496549
pandemic	472	0.7557756225162897
children	469	0.3501356156160058
congress	456	0.26197531307140876
ppe	447	0.24533557010728727
russia	433	0.24826830916639478
testing	418	0.32473681266057214
kids	411	0.32041843399440273
daily	375	0.26821226210753535
second	374	0.25341952116854477
canada	369	0.2512658081812289
gop	368	0.2620646741208165
arizona	366	0.2379579387063209
biden	365	0.2658615427956854
patients	355	0.3584402968501659
england	343	0.2752884736305331
money	340	0.29916293249635123
life	336	0.4153630000813798
california	336	0.2514653206724308
doctors	330	0.29129055442145024
chinese	329	0.25752531044045124
hydroxychloroquine	310	0.19266123319795225
science	306	0.28609874625241866
things	304	0.33728134820245464
scotland	304	0.24765679718558403
risk	291	0.3598611528285777
icu	286	0.23212767944289242
democrats	279	0.26056461442675255
hospitals	267	0.36582267989410067
brazil	260	0.23821223411769699
italy	257	0.18999492718821825
exams	248	0.30749959868715915
god	246	0.2593414861925656
care	245	0.34074016675733704
data	245	0.3161335280323222
republican	245	0.21228028207935093
spain	245	0.23860295311532284
death	242	0.4958044510962277
years	233	0.40651980026983753
states	225	0.4047615886420911
georgia	225	0.24288553863380494
health	222	0.39993849591914443
teachers	222	0.26902535422349927
cnn	220	0.218582616675749
weeks	216	0.38554935795949463
senate	216	0.2654064440649521
houston	214	0.24281239668595636
japan	213	0.16634113536865186
staff	211	0.28376307269255974
symptoms	211	0.30100501377744526
september	206	0.22606023811487608
portland	206	0.13418496728142615
public	205	0.25970426753082254
government	204	0.3634011105701881
australia	200	0.24461609509378873
tulsa	197	0.15785906205944433
tonight	196	0.23817941403103499
place	196	0.30154675749984156
twitter	195	0.2264360448416053
president	194	0.30848624574437333
mask	193	0.5500198132317957
delhi	189	0.26616976392014247
usa	185	0.23163526924391104
