Item	Frequency	Score
covid-19	12496	0.5152796333244442
covid	5950	0.7758531190817199
trump	5945	0.5305333730329193
people	3659	0.6280697873368803
americans	2996	0.3170596042717687
biden	2149	0.3294987584933968
coronavirus	1714	0.6283791474440973
america	1713	0.28359376919741197
china	1423	0.3109334897798334
cdc	1256	0.2666928982180529
masks	1198	0.5205932807876266
lockdown	1144	0.5118242698437571
republicans	974	0.25319339881022107
millions	932	0.27388346615884607
american	874	0.2803685624869931
senate	773	0.2585705226963658
india	693	0.275394338671424
cases	655	0.5493067782455633
covid19	643	0.5742864936004143
home	638	0.3853788787888932
u.s.	633	0.5084756785977678
democrats	544	0.2588043087056961
florida	537	0.2635361155539033
fauci	534	0.2250136496077158
second	526	0.27437194346576765
months	519	0.4223663917580635
gop	511	0.26663734710542547
thousands	496	0.26442901674422775
tonight	470	0.2844902653891676
deaths	435	0.4777160829927039
pandemic	432	0.7447952021621393
corona	431	0.3005297558337658
cnn	413	0.2394601292827714
wisconsin	403	0.2524645454772483
lives	381	0.46117476757530795
europe	379	0.2679697453708898
life	379	0.4374781476004287
work	372	0.3027295610786419
daily	355	0.2587978158463558
control	351	0.2906869611902964
lagos	331	0.1618223814515937
money	326	0.2983705646796731
risk	323	0.319931610200719
canada	316	0.2441485042318763
death	315	0.49075886520501366
things	314	0.35434163814733405
england	313	0.2448948710047668
healthcare	311	0.2955765457567339
children	302	0.31971857348417115
congress	301	0.23357662242897534
doctors	297	0.2890320708241723
johnson	294	0.2319096070125092
staff	292	0.2825843440370256
ppe	289	0.28485692993641415
icu	288	0.23277165237562644
schools	284	0.34143848712452746
london	279	0.23058323638417924
france	277	0.20528229991741254
wales	271	0.21603580466779224
science	263	0.2929233151862297
texas	259	0.2430662686259271
hicks	258	0.08048423463678783
patients	254	0.3516765874033205
care	253	0.35121577146539096
republican	252	0.2496119462650562
lockdowns	250	0.50704490960233
pence	248	0.16612537794382823
president	246	0.351073287554451
barrett	244	0.25766072202288837
school	241	0.34930097583635783
nigeria	241	0.19214547666030926
food	240	0.31232332065592244
sweden	237	0.231293313142646
place	237	0.31794272669330415
access	237	0.2355584785740235
women	233	0.2789768020222294
hundreds	230	0.22870987483109653
endsars	227	0.1337265760256534
nigerians	224	0.1661181317030399
symptoms	222	0.2634746989431427
weeks	220	0.39575819695035264
quarantine	216	0.24366984740889902
palliatives	215	0.1536137561731547
testing	213	0.30837686240609713
students	211	0.31057345937586234
chinese	211	0.24431852742762009
government	211	0.40901231109936476
twitter	211	0.24800895916943727
hospitals	210	0.34234647405053226
kids	209	0.26921745828351795
germany	209	0.2153739764889447
families	206	0.3596832323937117
scientists	204	0.2924281555244584
nhs	201	0.24059017078588196
mcconnell	199	0.22093569719216088
years	192	0.44036817710844023
scotland	192	0.26113174143424883
obama	189	0.24757748459581785
hospital	188	0.3371858596040565
michigan	187	0.2169277831212027
god	186	0.21731534825246998
friends	183	0.28034705873378185
christmas	179	0.2483595854056163
businesses	178	0.31915055448942475
office	174	0.2714438648494224
donald	173	0.23257901072090864
days	173	0.48677009778592584
joe	171	0.2405559849186786
taiwan	170	0.15637163300112444
italy	169	0.20963905131795904
jobs	169	0.3634025569627877
relief	169	0.3173794231607392
contact	168	0.28882436771301434
september	166	0.2565812724754801
russia	162	0.2039742256679504
support	161	0.2793061150181212
california	159	0.23618969487410046
health	159	0.3738797967984163
