Item	Frequency
covid	3.8414
pandemic	2.0858
covid-19	2.0035
this	1.6054
you	1.5
are	1.3918
vaccine	1.2648
we	1.2548
i	1.2349
have	1.0458
coronavirus	1.0254
lockdown	0.9725
not	0.9305
mask	0.7903
people	0.7797
has	0.7794
they	0.7662
do	0.748
all	0.6753
about	0.586
death	0.5799
virus	0.5761
if	0.5732
who	0.5516
our	0.5483
trump	0.545
so	0.5375
my	0.5114
no	0.5011
wear	0.4906
what	0.4833
stay	0.4804
now	0.473
just	0.4687
cases	0.4579
how	0.4561
us	0.4395
new	0.4307
out	0.4291
test	0.4147
vaccinate	0.4039
die	0.3977
get	0.3799
corona	0.3719
during	0.3712
positive	0.3689
like	0.3662
ðÿ	0.3647
been	0.3634
case	0.3609
hospital	0.3479
please	0.3459
spread	0.3438
more	0.3226
health	0.3057
me	0.282
over	0.2807
safe	0.2804
because	0.2775
your	0.2767
cdc	0.2759
via	0.2746
than	0.269
home	0.2689
need	0.2651
vaccination	0.2635
why	0.2582
deaths	0.2559
should	0.2555
here	0.2546
china	0.2496
did	0.2427
today	0.238
know	0.2303
biden	0.2278
still	0.2225
variant	0.2209
distancing	0.2202
go	0.2196
day	0.2164
going	0.2148
being	0.2104
help	0.2093
uk	0.209
is	0.209
social	0.203
outbreak	0.2026
americans	0.2019
covid19	0.2006
does	0.1965
crisis	0.1932
social distancing	0.1899
government	0.1889
even	0.1883
testing	0.1848
india	0.1848
down	0.1802
back	0.1795
take	0.1784
due	0.1763
think	0.1727
govt	0.1725
ca	0.1705
infection	0.1696
everyone	0.169
care	0.1688
says	0.1659
want	0.1654
country	0.1632
masks	0.1622
covid-19 vaccine	0.1612
public	0.1611
flu	0.1584
dose	0.1566
news	0.1559
right	0.1533
world	0.1514
covid vaccine	0.151
sick	0.1507
days	0.1491
president	0.148
stop	0.1476
fuck	0.1472
say	0.1397
let	0.1377
really	0.1364
every	0.1363
against	0.1339
u	0.1328
got	0.1323
too	0.1301
keep	0.1296
relief	0.129
mandate	0.1282
since	0.1262
after	0.1262
lives	0.1258
died	0.1248
tested	0.1247
week	0.1216
months	0.1184
million	0.1157
omicron	0.1156
he	0.1151
will	0.1148
thank	0.1145
â	0.1142
patients	0.1135
again	0.112
wave	0.1116
wuhan	0.1116
response	0.1113
shit	0.1107
restriction	0.11
quarantine	0.1094
kid	0.1079
covid case	0.1075
doing	0.1069
w	0.1066
getting	0.1065
never	0.1047
support	0.1041
fauci	0.1039
new case	0.1033
doctor	0.1029
shot	0.1022
patient	0.1019
read	0.1017
workers	0.1015
public health	0.1009
live	0.0981
protect	0.0975
risk	0.0975
breaking	0.097
covid-19 case	0.0967
immunity	0.0957
tweet	0.0957
global	0.0943
recovery	0.0936
economy	0.0896
blame	0.089
unvaccinated	0.089
face	0.0883
money	0.0881
infected	0.088
johnson	0.088
surge	0.0878
vote	0.0874
yesterday	0.0871
covid death	0.087
amid	0.087
nhs	0.087
healthcare	0.0867
weeks	0.0867
tests	0.0865
thing	0.0864
media	0.0863
jab	0.0853
epidemic	0.0847
total	0.0842
deadly	0.0835
