Item	Score
omicron	2042.2025
covid	970.9497
omicron variant	404.349
vaccinate	355.0368
ðÿ	347.6378
unvaccinated	260.6596
covid vaccine	260.3783
delta variant	187.6757
covid-19 vaccine	184.1302
vaccine mandate	172.1955
vax	163.3192
lockdown	154.7683
vaxxed	132.7952
covid case	131.1866
covid death	123.9208
covid19	123.0038
pandemic	118.948
covid-19 vaccination	111.7203
vaccine passport	105.8578
omicron case	97.685
fauci	94.5926
ivermectin	93.6081
jab	87.6128
covid test	86.7593
vaccine	84.8745
covid-19	83.7028
vaccinated people	82.4741
pfizer	80.942
corona	79.6807
vaccination	77.7296
covid vaccination	73.6671
covid patient	73.3062
moderna	70.5269
unvaxxed	70.077
covid as weapon	68.643
natural immunity	67.5204
ssrians	64.6295
booster shot	63.5334
vaccine dose	63.4584
dose2	63.2757
dose1	63.2283
colin powell	62.84
new variant	62.8184
covid relief	60.6379
dose2 capacity	60.6157
dose1 capacity	60.6157
min age limit	60.6057
booster	60.2792
long covid	58.1367
mask mandate	57.5143
coronavirus	56.0575
patient name	54.7325
covid booster	54.4362
unvaccinated people	51.4203
covid-19 case	50.4313
pin code	49.8697
covid restriction	49.8464
new omicron	49.8445
wuhan	49.7571
al-yamani	48.5347
aaron rodgers	48.115
myocarditis	47.221
pmc p	47.0455
covid variant	46.6275
anti-vaxxer	46.015
omicron wave	45.912
omicron spread	45.833
case of omicron	45.739
vaccination rate	45.1893
ssr body	45.044
board exam	44.98
cdc	44.9215
covid shot	44.8971
ssrian	43.3805
military dictatorship	42.971
covid passport	42.5385
indian variant	42.4413
govt	42.1722
president biden	42.0192
vaxed	41.799
oxygen cylinder	41.521
desantis	41.4863
number of appt slots	40.7835
appt slot	40.7825
first dose	40.7136
ssrians help	40.38
vaccine rollout	39.6369
covid jab	38.9272
second dose	38.8302
variant	38.7848
chsl	38.383
omicron surge	38.334
hospitalization	37.4954
øaù	37.477
social distancing	37.3173
omicron infection	37.137
big bird	36.807
ùˆø	36.757
new available appointment	36.604
ùšø3 ø	36.468
ùšø3_ø	36.468
icu	36.3641
ambulance driver	35.9335
cleanliness worker	35.8085
sars-cov-2	35.514
spo2	35.122
covid-19 booster	35.001
pre-pandemic	34.9366
mask	34.8118
nicki	34.765
distancing	34.7107
astrazeneca	34.5597
jandj	34.4994
global pandemic	34.1967
biden administration	33.4552
ùˆùƒ ø	33.428
ùˆùƒ_ø	33.428
ùšø	33.422
minaj	33.258
kumbh	33.1674
walgreen	32.8753
wuhan lab	32.678
covid protocol	32.6303
vaxx	32.4409
vaccination status	32.1824
covid infection	32.1724
hospitalisation	32.0987
biden	32.0044
black fungus	31.6677
new case	31.46
coronavirus vaccine	30.448
vaccine booster	30.2805
covid pandemic	29.8064
pcr test	29.6915
oxygen concentrator	29.6307
anti-vax	29.3453
corona virus	29.2363
oxygen bed	29.1393
post-pandemic	29.0474
hospitalize	28.6255
new omicron variant	28.611
relief bill	28.5697
asharamji	28.518
available appointment	28.508
ppl	28.3087
rodgers	27.997
coronavirus variant	27.8341
covid relief bill	27.7979
randox	27.789
bapu	27.6586
delta	27.6291
lab leak	27.5255
covishield	27.4578
ssrians covid volunteer	27.364
spread of omicron	27.245
registration link	27.121
covid vaccine mandate	26.9082
active case	26.7995
epex	26.731
nasser	26.6747
covid-19 vaccine mandate	26.5814
covid crisis	26.4357
ssc	26.258
booster dose	25.97
wearing mask	25.8063
stay home	25.799
covid-19 death	25.7847
covid recovery patient	25.483
recovery patient	25.431
mrna vaccine	25.4028
inauguration	25.376
pfizer vaccine	25.2724
breakthrough case	25.0502
herd immunity	24.9918
anti-lockdown	24.9294
third wave	24.8301
covid rule	24.7814
unvaxed	24.7542
gladys	24.6093
freedom day	24.5944
covid pass	24.5577
pre-covid	24.5366
junta	24.5197
concentrator	24.468
retweet	24.3216
b-positive	24.2227
distribution-dss	24.22
case of the omicron	24.2155
first omicron	24.213
covid mandate	23.9044
post-covid	23.8075
rogan	23.7077
n95	23.6244
javid	23.6143
rollout	23.5035
booster jab	23.4788
joe rogan	23.4348
nicki minaj	23.315
covid-19 variant	23.2253
dewormer	23.1808
bapuji	23.1577
texas democrats	23.153
anti-coup	23.05
covid vax	22.8398
molnupiravir	22.8217
covaxin	22.5813
covid toe	22.547
omicron coronavirus	22.4715
new availability	22.444
vaccination appointment	22.3701
covid outbreak	22.3509
blood component	22.3359
lab-leak	22.318
election rally	22.3147
covid prisoner	22.28
middle of a pandemic	22.2625
positivity rate	22.2316
mrna	22.2186
ese	22.161
covid response	22.1299
omicron death	21.98
covid bill	21.93
vaccination site	21.8123
vaccination drive	21.5989
getting covid	21.57
non-covid	21.5673
christmas party	21.549
noida	21.446
proof of vaccination	21.4218
berejiklian	21.3807
ðÿtm	21.3749
covid situation	21.3603
coronavirus case	21.3125
