Item	Frequency
covid-19	7.978
covid	3.9448
people	2.9874
china	1.8895
india	1.5983
americans	1.427
trump	1.3561
cdc	1.2394
biden	1.0946
coronavirus	1.0428
lockdown	0.9565
america	0.9259
masks	0.8041
florida	0.7354
millions	0.6169
home	0.5808
u.s.	0.5094
vaccines	0.4919
american	0.4767
thousands	0.4678
republicans	0.4574
cases	0.4549
texas	0.4471
covid19	0.4354
wuhan	0.4351
children	0.4083
corona	0.4082
social distancing	0.4073
pandemic	0.3994
deaths	0.3917
democrats	0.3899
students	0.3802
congress	0.3781
schools	0.3684
second	0.3648
icu	0.3479
joe biden	0.3448
donald trump	0.3448
canada	0.3414
chinese	0.3345
lives	0.3289
work	0.3135
fauci	0.3102
months	0.3065
kids	0.2821
daily	0.2815
europe	0.2785
life	0.2777
death	0.2656
nhs	0.2636
school	0.2629
patients	0.262
boris johnson	0.2619
australia	0.2576
california	0.2482
johnson	0.246
things	0.2398
england	0.2373
money	0.2323
risk	0.2307
omicron	0.2222
gop	0.2209
new york	0.2208
vaccine	0.2127
senate	0.21
control	0.209
hospitals	0.2087
italy	0.1997
london	0.1993
fda	0.1974
ppe	0.1967
doctors	0.1965
tonight	0.1947
science	0.1935
years	0.1927
delhi	0.1913
health	0.1789
germany	0.1757
scotland	0.1756
care	0.1753
new zealand	0.1747
south africa	0.1732
vaccination	0.1732
hospital	0.1727
government	0.1724
place	0.1691
covid cases	0.169
help	0.1658
russia	0.1622
data	0.1621
cnn	0.1615
japan	0.1592
pfizer	0.1582
republican	0.1571
christmas	0.1559
god	0.1558
france	0.1524
families	0.1516
weeks	0.1516
hundreds	0.1512
lockdowns	0.151
testing	0.1496
women	0.1495
indian	0.1474
staff	0.1468
friends	0.1442
exams	0.1438
brazil	0.1436
israel	0.1436
restrictions	0.1378
businesses	0.1367
food	0.1353
healthcare	0.1349
nyc	0.1333
sweden	0.1326
symptoms	0.1323
georgia	0.1316
september	0.1315
pakistan	0.1296
ontario	0.1274
workers	0.1272
president trump	0.1269
order	0.1256
africa	0.123
usa	0.1222
support	0.121
twitter	0.1206
white house	0.1197
states	0.1196
fear	0.1187
govt	0.1173
mask	0.1172
family	0.1149
britain	0.1133
ron desantis	0.113
power	0.1125
access	0.1122
police	0.111
scientists	0.1104
days	0.1091
quarantine	0.109
jobs	0.1081
parents	0.1079
washington	0.1078
half	0.1078
covid patients	0.1076
south korea	0.1053
nurses	0.1045
hong kong	0.1039
covid deaths	0.1015
dr. fauci	0.1012
ccp	0.1007
covid relief	0.1004
teachers	0.0999
president	0.0988
virus	0.098
corona virus	0.0979
infection	0.0972
public health	0.0971
politics	0.0966
action	0.0947
office	0.0942
experts	0.0936
arizona	0.0931
restaurants	0.0906
course	0.0903
history	0.0898
state	0.0893
mitch mcconnell	0.0888
billions	0.0887
freedom	0.0883
afghanistan	0.0881
nigeria	0.0875
decades	0.0874
case	0.0873
spain	0.087
vaccinations	0.0859
iran	0.0858
michigan	0.0855
oxygen	0.0843
safety	0.0831
wales	0.0824
contact	0.0824
kerala	0.082
mexico	0.0819
next week	0.0818
countries	0.0817
cuomo	0.0814
supreme court	0.0811
hours	0.0805
winter	0.0802
evidence	0.0799
taiwan	0.0799
myanmar	0.0798
night	0.0795
treatment	0.0795
alberta	0.079
nursing homes	0.0785
matt hancock	0.0783
media	0.0782
desantis	0.0779
malaysia	0.0778
ivermectin	0.0778
transmission	0.0773
lots	0.0768
british	0.0768
tests	0.0766
brexit	0.0762
climate change	0.0758
ireland	0.0757
infections	0.0754
law	0.0748
delta	0.0743
thanks	0.0739
young people	0.0738
mcconnell	0.0735
folks	0.0734
hospitalizations	0.0734
response	0.0728
covid vaccines	0.0727
ppl	0.0722
canadians	0.0719
coronavirus cases	0.0718
vaccine passports	0.0707
social media	0.0706
