Item	Score
covid vaccines	0.8864
covid cases	0.7529
omicron cases	0.7378
long covid	0.7252
covid deaths	0.719
covid vaccine	0.7147
covid	0.708
vaccine mandates	0.6991
novel coronavirus	0.6872
covid restrictions	0.6848
pandemic	0.6725
covid patients	0.6696
covid vaccination	0.6678
coronavirus outbreak	0.6524
vaccine passports	0.6475
coronavirus cases	0.6253
vaccinated people	0.6239
covid mandates	0.6196
coronavirus pandemic	0.6135
new cases	0.6061
vaccine mandate	0.5983
people	0.5867
covid pandemic	0.5843
unvaccinated people	0.5805
severe covid	0.573
young people	0.5709
coronavirus	0.5689
covid rules	0.5502
new coronavirus	0.5502
coronavirus patients	0.5457
covid protocols	0.5425
covid tests	0.5342
new covid cases	0.5332
covid relief	0.532
new covid restrictions	0.531
vaccine status	0.5303
vaccine effectiveness	0.5276
catching covid	0.5228
unvaccinated covid patients	0.5217
covid passports	0.5191
covid19	0.5101
vaccines	0.5095
coronavirus fears	0.5059
public health	0.5025
lockdowns	0.5001
cases	0.4973
covid list	0.4884
case	0.4858
astrazeneca covid-19 vaccine	0.4847
active cases	0.4833
vaccine	0.4779
coronavirus crisis	0.473
corona virus	0.4729
coronavirus lockdown	0.4718
vaccine hesitancy	0.4713
lockdown	0.4709
covid vaccinations	0.467
days	0.4604
death	0.4597
covid visualizations	0.4592
u.s.	0.4588
coronavirus impact	0.4588
face masks	0.4551
covid infections	0.4548
covid-19	0.4511
deaths	0.4509
years	0.4488
mental health	0.4487
coronavirus testing	0.4457
next year	0.4446
spread covid	0.4429
masks	0.4414
virus	0.4369
deadly coronavirus	0.4368
coronavirus deaths	0.4361
dr. fauci	0.4359
mask mandates	0.4348
coronavirus concerns	0.4348
contracting covid	0.4336
times	0.4323
coronavirus bill	0.4322
coronavirus quarantine	0.4308
new variants	0.4306
covid vaccine mandates	0.4302
covid patient	0.4296
covid relief bill	0.428
coronavirus vaccines	0.4274
mainland china	0.4265
health care	0.4258
next week	0.4255
covid protocol	0.4249
social distancing	0.4211
mask	0.4186
nursing homes	0.4155
vaccine rollout	0.415
social media	0.4142
coronavirus vaccine	0.4134
covid recovery patient	0.4133
omicron variant	0.4117
black people	0.4108
caught covid	0.4084
health	0.4041
vaccine distribution	0.4015
coronavirus symptoms	0.3991
coronavirus patient	0.399
covid passes	0.3951
covid-19 vaccines	0.3911
lives	0.3902
astrazeneca vaccine	0.3884
weeks	0.3875
countries	0.3875
covid hospitalizations	0.3874
vaccinations	0.387
coronavirus disease	0.3862
life	0.3849
home	0.3826
booster shots	0.3802
mrna vaccines	0.3797
vaccine doses	0.3771
covid numbers	0.3765
coronavirus response	0.3764
covid19 vaccines	0.3739
health care workers	0.3738
covid times	0.3731
vaccination	0.3728
states	0.3704
omicron infections	0.3677
covid misinformation	0.3671
delta variant	0.3668
china	0.3653
combat coronavirus	0.3652
small businesses	0.3635
government	0.3607
wuhan china	0.3607
loved ones	0.3592
health workers	0.358
covid lockdowns	0.3577
covid testing	0.3564
state	0.3563
care homes	0.3548
death toll	0.3544
variants	0.3528
vaccination status	0.3521
new variant	0.3494
schools	0.3491
months	0.3483
school	0.3466
how many people	0.3462
patients	0.3461
vaccine eligibility	0.3461
covid infection	0.3456
coronavirus update	0.3446
hospitals	0.3443
new year	0.3436
hospital	0.343
covid test	0.3429
covid management	0.3424
mrna covid vaccines	0.3414
covid variants	0.3413
confirmed cases	0.3406
covid origins	0.3405
social distance	0.3391
so many people	0.3389
healthcare workers	0.3386
rising covid cases	0.3377
home covid tests	0.3367
previous variants	0.3361
healthy people	0.3348
vaccine uptake	0.3346
breakthrough cases	0.3339
omicron wave	0.3334
positive covid	0.3334
vaccination rates	0.333
coronavirus panic	0.3326
tests	0.3314
family	0.3294
families	0.3293
children	0.329
omicron infection	0.3288
disabled people	0.3278
health officials	0.3267
mandatory vaccines	0.3258
new daily cases	0.325
country	0.3249
climate change	0.3246
trump	0.3229
new york	0.3226
risk	0.3224
pfizer vaccine	0.3221
things	0.3221
herd immunity	0.3215
corona warriors- doctors	0.3212
covid19 cases	0.3211
omicron	0.3207
coronavirus tests	0.318
infection	0.3172
positive cases	0.3171
covid measures	0.3169
viruses	0.3164
businesses	0.3161
younger people	0.3156
workers	0.3156
u.k.	0.3141
china coronavirus	0.3141
south africa	0.3139
care	0.3139
omicron surge	0.3134
joe biden	0.3132
coronavirus evacuees	0.3131
corona pandemic	0.3125
good news	0.3123
covid-19 pandemic	0.3121
getting covid	0.3117
students	0.3117
updated covid insights	0.3111
business	0.3108
b.c.	0.3108
corona	0.3105
coronavirus case	0.3096
vaccine requirements	0.3082
coronavirus spread	0.3074
response	0.3071
work	0.3066
donald trump	0.3059
coronavirus infections	0.3054
virus outbreak	0.305
oxygen support	0.3045
non-arabs	0.3045
pandemics	0.3042
testing	0.3029
pre covid	0.3025
numbers	0.3021
cleanliness workers	0.3013
infections	0.3012
jobs	0.301
coronavirus vaccine mandates	0.301
rideshare #radio #hits	0.3002
election day	0.2999
vaccine appointments	0.299
coronavirus trajectories	0.299
boosters	0.2987
new york city	0.2984
test	0.2974
world	0.2974
india	0.2971
covid rates	0.2942
news	0.2942
covid situation	0.2937
place	0.2937
governments	0.2933
unvaccinated kids	0.2933
wuhan	0.2932
covid surge	0.2922
covid crisis	0.292
high risk	0.2911
further restrictions	0.2899
covid treatments	0.2899
data	0.2898
pre-pandemic levels	0.2896
public health measures	0.2891
covid symptoms	0.2884
women	0.2881
president trump	0.288
johnson vaccine	0.288
new zealand	0.2877
coronavirusindia #	0.2877
covid appropriate behaviour	0.2868
cdc	0.2867
public health officials	0.2843
covid vaccine mandate	0.2843
vaccine efficacy	0.2841
covid bill	0.284
money	0.2837
china 🇨🇳	0.2833
fully vaccinated people	0.2824
corona vaccine	0.2822
post covid	0.2815
kids	0.2815
vaccine passport	0.2812
bame people	0.2809
illness #corona	0.2808
doses	0.2808
staff	0.2806
white house	0.2803
symptoms	0.2803
corona cases	0.2802
paid sick days	0.2802
christmas parties	0.28
communities	0.28
covid passport mandates	0.2793
lockdown restrictions	0.2789
food	0.2789
side effects	0.2788
order	0.2784
election rallies	0.2781
friends	0.2778
doctors	0.2777
chinese coronavirus	0.2776
home tests	0.2775
rapid antigen tests	0.2771
covid-19 vaccine	0.277
new deaths	0.2761
boris johnson	0.276
second lockdown	0.2757
treatment	0.2755
essential workers	0.2751
new covid-19 cases	0.2749
covid-19 vaccinations	0.2749
new vaccines	0.2749
mandates	0.2745
support	0.2743
no covid	0.2741
coronavirus infection	0.2741
vaccine injuries	0.2739
quarantine	0.2739
covid jabs	0.2733
fighting covid	0.2732
delta	0.2728
exam	0.2727
chinese mainland	0.2727
home order	0.2726
restrictions	0.2726
covid booster	0.2721
america	0.272
hours	0.272
coronavirus relief	0.2719
control	0.2711
natural immunity	0.2706
americans	0.2701
white people	0.2698
board exams	0.2697
new covid variant	0.2693
global vaccine equity	0.2692
science	0.2687
future pandemics	0.2686
unvaxxed people	0.2685
next month	0.2684
coronavirus restrictions	0.2679
safety	0.2679
freedom day	0.2677
fake news	0.2676
biden	0.2674
shots	0.2672
booster	0.2662
media	0.2658
covid19 vaccine	0.2645
severe illness	0.2643
office	0.2642
covid issues	0.2631
experts	0.263
africa	0.2629
flu	0.2627
fear	0.2624
covid regulations	0.262
police	0.2618
vax	0.2617
ambulance drivers	0.2614
govt	0.2613
action	0.2611
power	0.2611
covid lockdown	0.261
covid resources	0.261
outbreak	0.2599
rural india	0.2597
canada	0.2597
homes	0.2594
chinese	0.259
president	0.259
bat coronavirus research	0.2589
older people	0.2589
economy	0.2589
hong kong	0.2588
citizens	0.2586
coronavirus threat	0.2585
south korea	0.2577
n95 masks	0.2575
usa	0.2572
primary number	0.2572
second	0.256
healthcare	0.2558
anthony fauci	0.2557
europe	0.2557
global pandemic	0.2555
information	0.2551
covid care centres	0.255
history	0.2547
wuhan city	0.2547
australia	0.2545
president biden	0.2542
need	0.2542
help	0.254
night	0.2539
common sense	0.2533
covid treatment	0.2532
law	0.2531
thousands	0.2529
family members	0.2524
fact	0.2524
lots	0.2523
nhs	0.2521
human rights	0.2519
millions	0.2518
severe disease	0.2514
covid contracts	0.2514
daily	0.2514
johnson covid vaccine	0.2514
home orders	0.2513
lockdown rules	0.2511
american	0.2509
spread	0.2507
school boards	0.2505
oxygen cylinders	0.2502
covid outbreaks	0.2497
fox news	0.2494
covid booster shots	0.2493
coronavirus risk	0.2491
pfizer	0.249
exams	0.2488
daily cases	0.2486
first lockdown	0.2484
zero covid	0.2481
scientists	0.2479
dr. anthony fauci	0.2478
florida hospitals	0.2477
crisis	0.2474
ways	0.2473
mandatory vaccination	0.2468
oxygen supply	0.2468
new years	0.2467
tonight	0.2467
new jersey	0.2454
restaurants	0.2452
god	0.2452
serious illness	0.2449
florida	0.2448
london	0.2446
japan	0.2446
covid shots	0.2444
low vaccination rates	0.2441
date	0.244
early years	0.244
poor people	0.2439
excess deaths	0.2437
contact	0.2437
california	0.2436
johnson	0.2435
full lockdown	0.2434
shit	0.2431
new covid variants	0.2431
new restrictions	0.2429
enough vaccines	0.2428
september	0.2428
officials	0.2427
italy	0.2426
access	0.2426
working people	0.2425
covid boosters	0.2425
los angeles	0.2423
chinas coronavirus	0.2422
decades	0.242
education	0.2419
rules	0.2417
old people	0.2416
course	0.2409
india variant	0.2409
record covid cases	0.2408
covid-19 cases	0.2407
hands	0.2406
scotland	0.2405
contracting coronavirus	0.2405
teachers	0.2402
coronavirus lockdowns	0.2402
rapid covid tests	0.24
covid spread	0.24
lies	0.24
man	0.2399
national lockdown	0.2398
new strain	0.2397
covid lies	0.2397
immunity	0.2396
jabs	0.2395
coronavirus information	0.2394
covid response	0.2393
questions	0.2393
men	0.2393
society	0.239
coronavirus fight	0.2389
vax mandates	0.2387
texas	0.2387
congress	0.2386
germany	0.2386
breakthrough infections	0.2384
politics	0.2382
common people	0.2382
covid virus	0.238
nurses	0.2378
aaron rodgers	0.2375
parents	0.2375
coronavirus victims	0.2375
england	0.2374
russia	0.2372
min age limit	0.237
ages	0.2368
france	0.2363
twitter	0.2361
humanity	0.2357
ivermectin	0.2356
evidence	0.2353
washington	0.2353
cancer	0.2352
age	0.235
residents	0.235
icu	0.2349
boxing day	0.2348
nyc	0.2342
democrats	0.2341
first time	0.234
vaccinated individuals	0.2336
sick days	0.2331
line	0.2331
thanks	0.2329
nursing home deaths	0.2328
wuhan airport	0.2327
transmission	0.2323
chinese people	0.2322
pakistan	0.2321
school mask mandates	0.2321
oxygen level	0.232
hundreds	0.2319
ireland	0.2316
poverty	0.2315
sydney lockdown	0.2313
ppe	0.231
summer	0.231
oxygen cylinder	0.2307
research	0.2306
covid variant	0.2306
hospitalizations	0.2298
christmas eve	0.2297
ppl	0.2294
fauci	0.2287
delhi	0.2286
travel	0.2286
wuhan people	0.2284
covid disinformation	0.2283
bill gates	0.2281
case numbers	0.2278
gop	0.2277
astrazeneca covid vaccine	0.2277
no covid passports	0.2276
wave	0.2275
peoples lives	0.2274
half	0.2271
new coronavirus variant	0.227
facts	0.2268
coronavirus variants	0.2268
coronavirus scare	0.2268
republicans	0.2267
new coronavirus cases	0.2265
communist china	0.2265
britain	0.2263
employees	0.2263
first case	0.2262
lack	0.2261
frontline workers	0.2259
freedom	0.2259
johns hopkins university	0.2258
indian	0.2256
sep	0.2256
relief	0.2255
anti-asian	0.2254
recovery	0.2251
secondary number	0.2247
pre-covid levels	0.2247
covid transmission	0.2246
mr. potato head	0.2246
covid covid	0.2246
omicron covid variant	0.2243
vaccine apartheid	0.2239
variant	0.2237
offline exams	0.2236
previous infection	0.2236
vaccine papers	0.2236
public transport	0.2235
blood clots	0.2233
hope	0.2232
vaccine supply	0.2231
vaccine misinformation	0.2229
republican	0.2229
trans people	0.2225
companies	0.2223
attention	0.2222
water	0.2221
coronavirus epidemic	0.222
christmas day	0.2219
booster doses	0.2218
cnn	0.2215
good luck	0.2214
spain	0.2214
rapid tests	0.2208
ccp	0.2207
services	0.2207
anti mask	0.2205
politicians	0.2204
sars	0.2202
memorial day	0.2202
merry christmas	0.22
folks	0.2199
covid-19 vaccination appointments	0.2198
vaccine immunity	0.2198
home quarantine	0.2198
johnson covid-19 vaccine	0.2197
adults	0.2194
reports	0.2193
mask mandate	0.2189
isolation	0.2186
leadership	0.2184
oxygen bed	0.2184
previous waves	0.2181
american lives	0.2181
pandemic times	0.2179
cloth masks	0.2173
third wave	0.217
charge	0.217
iot #	0.2168
coronavirus coverage	0.2168
british	0.2163
members	0.2163
child covid deaths	0.2157
public	0.2156
nigeria	0.2155
inauguration day	0.2155
sweden	0.2154
delta covid variant	0.2152
wales	0.2149
weekend lockdown	0.2149
unemployment	0.2148
covid beds	0.2148
plans	0.2147
concerns	0.2146
big pharma	0.2145
billions	0.2145
nsw govt	0.2145
second wave	0.2141
wuhan coronavirus	0.2141
prior covid disease	0.2141
vulnerable people	0.2139
covid hospitals	0.2137
passports	0.2137
study	0.2135
covid passport requirements	0.2135
sense	0.2133
home isolation	0.213
love	0.213
daily covid cases	0.2129
chinese virus	0.2126
disease	0.2125
mask indoors	0.2125
full vaccination	0.2124
vaccine deaths	0.2118
places	0.2117
labor day	0.2117
canadians	0.2113
how covid	0.2111
no vaccine	0.2109
iran	0.2107
new data	0.2105
brazil	0.2105
israel	0.2104
oxygen beds	0.2104
reality	0.2103
humans	0.2102
northern italy	0.2102
east delhi	0.2099
western europe	0.2097
brexit	0.2096
chinese authorities	0.2095
enough people	0.2094
recent weeks	0.2094
earth	0.2094
covid vaccine passports	0.209
public schools	0.2089
rich people	0.2088
inflation	0.2088
covid jab	0.2088
lunar new year	0.2086
results	0.2085
supreme court	0.2083
hospitalization	0.2083
analytics	0.2083
coronavirus prevention	0.2082
wearamask #	0.2082
fda	0.2079
senate	0.2078
health experts	0.2073
prison	0.2071
no masks	0.207
corona patients	0.207
union health ministry	0.2067
indian covid variant	0.2065
nhs staff	0.2064
hospital beds	0.2064
new available appointments	0.2064
san francisco	0.2063
china virus	0.2063
new south wales	0.2062
mexico	0.2061
no pandemic	0.2059
vaxxed people	0.2057
violence	0.2055
black lives	0.2055
johnson covid-19	0.2053
covid death	0.2053
covid deniers	0.2052
covid19 pandemic	0.2052
medical oxygen	0.2051
moderna	0.2051
united states	0.2047
ontario	0.2046
apr	0.2043
ron desantis	0.204
physical distancing	0.2039
testing kits	0.2039
coronavirus funding	0.2039
