Item	Frequency	Score
covid vaccine	5346	447.381
covid-19 vaccine	6379	391.245
covid death	2834	243.695
covid test	1827	154.175
covid case	1736	139.625
covid-19 vaccination	1409	122.563
coronavirus vaccine	1596	122.230
covid relief	1332	116.592
covid patient	1266	106.504
vaccine rollout	1078	95.632
global pandemic	1533	88.180
national lockdown	1058	85.124
covid-19 case	1813	84.731
covid vaccination	936	83.792
social distancing	3279	79.503
middle of a pandemic	902	78.600
stay home	945	75.584
new variant	957	71.714
vaccine dose	841	70.010
covid-19 death	864	67.948
corona virus	856	63.161
first lockdown	657	57.280
president biden	642	57.035
new case	1963	56.845
covid restriction	649	53.985
vaccine distribution	614	53.321
china virus	597	53.286
boris johnson	1045	51.492
second dose	648	50.971
first dose	711	50.839
lockdown rule	569	49.743
coronavirus variant	536	48.660
coronavirus case	795	47.204
wearing mask	699	46.164
covid-19 test	645	46.127
coronavirus death	547	46.109
new strain	619	45.574
vaccination drive	506	45.304
new death	578	45.135
covid response	490	43.493
new coronavirus	609	42.723
pandemic response	516	42.163
covid pandemic	509	41.296
active case	612	41.183
herd immunity	549	40.460
social distance	649	40.287
death toll	1285	39.482
covid denier	432	39.361
essential worker	524	39.243
healthcare worker	770	39.069
deadly pandemic	436	38.679
pcr test	446	36.374
covid rule	401	36.216
mask mandate	428	35.139
home order	413	34.937
joe biden	846	34.864
coronavirus pandemic	1068	34.410
covid variant	374	34.266
covid lockdown	383	34.084
biden administration	424	33.934
frontline worker	439	33.671
stay-at-home order	472	33.577
covid testing	378	33.421
covid crisis	394	33.069
covid protocol	368	33.063
pfizer vaccine	367	32.630
full lockdown	364	32.555
death rate	905	32.406
covid outbreak	357	32.011
covid-19 pandemic	1834	31.574
vaccination site	340	30.722
covid-19 variant	329	30.254
covid-19 patient	471	30.234
new lockdown	339	30.094
excess death	352	29.110
nhs staff	406	28.915
covid infection	322	28.852
covid number	312	28.453
covid-19 relief	335	28.368
relief bill	333	28.204
face mask	777	28.156
stimulus check	327	27.830
second wave	576	27.615
positivity rate	339	27.020
lockdown restriction	323	26.616
start of the pandemic	316	26.588
covid-19 infection	371	26.499
covid19 vaccine	284	26.184
long covid	285	26.150
vaccination programme	314	25.705
uk variant	278	25.629
infection rate	427	25.001
care home	775	24.232
positive test	402	24.116
covid situation	267	24.083
key worker	323	23.681
relief package	292	23.350
covid-19 testing	315	23.295
super spreader	254	23.204
covid jab	249	23.124
lockdown measure	277	22.371
vaccine supply	249	22.103
positive case	343	21.738
total case	263	21.607
covid ward	230	21.363
covid-19 lockdown	272	21.324
people die	293	21.215
covid-19 outbreak	354	21.199
hotel quarantine	234	21.110
covid symptom	231	21.106
corona vaccine	226	21.028
travel restriction	343	20.948
covid death rate	224	20.891
whole pandemic	224	20.838
chinese virus	224	20.518
rate in the world	256	20.316
mask wear	233	20.266
mass vaccination	238	20.195
covid-19 restriction	279	20.104
n95 mask	238	20.075
health official	579	19.838
confirmed case	405	19.805
covid time	214	19.582
covid-19 protocol	223	19.579
daily death	214	19.072
death rate in the world	201	18.797
doug ford	212	18.748
icu bed	215	18.589
coronavirus vaccination	198	18.520
total death	226	18.492
trump supporter	302	18.475
covid-19 update	225	18.193
care worker	473	18.015
post covid	193	17.974
health care worker	346	17.965
covid relief bill	190	17.837
matt hancock	198	17.688
beginning of the pandemic	198	17.645
covid strain	187	17.622
vaccination centre	188	17.571
vaccine shot	189	17.555
new coronavirus case	201	17.516
school closure	250	17.509
wuhan lab	186	17.413
vaccine today	185	17.394
coronavirus infection	224	17.283
nursing home	1107	17.120
new coronavirus variant	181	17.099
midst of a pandemic	187	17.091
covid spread	182	17.077
health worker	503	17.064
pandemic situation	189	16.968
us capitol	186	16.680
testing site	224	16.580
emergency use	214	16.564
त आर	173	16.389
घ ग	173	16.389
य मह	173	16.389
mrna vaccine	178	16.367
lockdown sceptic	172	16.288
covid-19 vaccine dose	169	15.989
getting covid	168	15.920
coronavirus lockdown	191	15.751
great reset	172	15.708
coronavirus relief	179	15.663
covid plan	164	15.542
covid virus	166	15.504
la county	184	15.483
nicola sturgeon	184	15.468
wear mask	167	15.361
strict lockdown	167	15.345
vaccination program	196	15.305
relief plan	165	15.238
travel ban	256	15.209
contact tracing	211	15.172
covid shot	159	15.134
current lockdown	164	15.127
entire pandemic	157	14.912
deadly virus	190	14.770
cases today	161	14.749
coronavirus restriction	172	14.704
happy new year	275	14.559
negative test	179	14.534
related death	187	14.439
damn mask	151	14.387
new covid	151	14.386
trump admin	156	14.371
vaccination plan	152	14.304
save life	153	14.209
third lockdown	148	14.148
moderna vaccine	149	14.036
health expert	271	13.999
fucking pandemic	146	13.980
covid death toll	146	13.965
vaccine appointment	145	13.869
remote learning	189	13.863
health minister	227	13.810
capitol riot	144	13.805
covid safety	147	13.779
total lockdown	147	13.767
number of deaths	258	13.760
community transmission	159	13.751
corona warrior	144	13.748
saving life	242	13.727
safety protocol	197	13.672
covid today	142	13.623
deaths today	143	13.581
wuhan virus	145	13.524
covid victim	141	13.506
covid-19 vaccine rollout	139	13.340
pfizer covid-19 vaccine	139	13.319
president joe biden	139	13.302
pandemic go	139	13.291
pandemic hit	151	13.282
covid-19 response	169	13.180
last lockdown	137	13.141
fucking mask	136	13.083
covid rate	136	13.044
conspiracy theory	514	13.042
handling of the pandemic	138	13.018
covid-19 vaccination drive	135	13.003
cloth mask	145	12.921
home resident	177	12.917
covid-19 crisis	236	12.863
covid-19 virus	165	12.853
self isolate	137	12.819
staying home	181	12.738
conspiracy theorist	249	12.718
anal swab	132	12.698
covid shit	131	12.647
biden admin	131	12.636
coronavirus test	145	12.628
coronavirus outbreak	209	12.570
