Item	Frequency	Score
covid	109023	1592.097
ðÿ	11228	834.579
vaccinate	16365	328.210
corona	13492	299.637
lockdown	23716	280.772
covid19	4923	276.914
fauci	3969	227.771
pandemic	57491	217.154
wuhan	5042	175.668
govt	8837	152.151
vaccine	39487	126.631
à	6145	126.513
covid-19	47820	125.019
cdc	12181	122.359
vaccination	11617	98.845
ssrians	1213	96.736
vax	1591	96.381
asharamji	1131	90.271
bapu	1181	86.516
ji	3305	79.388
र	1278	78.839
modi	5437	73.706
pfizer	2581	72.321
ðÿtm	885	70.237
icu	2688	68.174
unvaccinated	1098	66.928
moderna	1063	63.717
plz	1586	61.830
jab	2594	59.970
walgreen	875	59.115
mask	22924	58.469
coronavirus	9949	57.967
concentrator	1168	57.074
distancing	3188	56.886
क	814	53.537
sant	1267	53.536
shri	2103	53.525
ppl	1878	52.122
ventilator	1724	51.719
bapuji	653	51.058
sars-cov-2	1127	49.861
post-pandemic	714	49.653
ve	2571	48.916
ivermectin	728	48.800
ï	1857	46.289
astrazeneca	972	45.757
प	640	45.672
retweet	888	45.249
vaxxed	571	45.187
म	641	44.317
âtm	553	43.624
द	610	42.968
ðÿš	530	42.808
ह	585	42.722
ð	649	42.611
pre-pandemic	603	42.117
spo2	581	41.551
positivity	1322	41.268
appt	741	40.151
walgreens	804	40.036
kumbh	560	39.935
sushant	568	39.216
biden	4558	38.875
post-covid	549	38.346
distribution-dss	473	38.335
ssrian	460	37.304
ramdev	501	37.297
oxygen	9224	37.227
o-positive	456	36.831
न	538	36.728
virology	732	36.719
ssr	849	36.513
pre-covid	492	35.405
âœ	441	35.129
lakh	2280	34.543
स	489	34.196
gov	1385	34.044
त	501	34.011
eid	952	33.961
desantis	607	33.443
b-positive	412	33.434
mucormycosis	423	33.429
goi	526	32.643
य	454	32.362
anti-lockdown	404	32.209
ccp	1124	32.042
bjp	2773	31.567
remdesivir	438	31.292
quarantine	2396	30.530
n95	509	30.030
kejriwal	509	29.856
variant	7102	29.184
aiims	434	28.984
hai	1138	28.402
ppe	967	28.156
pls	539	27.682
virus	12883	27.175
cummings	1045	27.174
drdo	396	26.825
a-positive	324	26.468
व	365	26.213
ल	362	26.074
sauda	333	25.959
cbse	508	25.914
hesitancy	422	25.808
ग	341	25.777
insan	320	25.389
covaxin	312	25.339
pl	2028	25.252
bhi	390	25.248
garu	313	24.264
anti-vaxxer	321	24.051
immunity	2825	23.926
boris	1613	23.894
ðÿtmðÿ	289	23.804
cases	579	23.557
jandk	279	23.004
pfizer-biontech	283	22.977
maskless	287	22.796
sop	686	22.763
plasma	3705	22.713
dera	352	22.639
coronaviruse	317	22.381
frontline	1292	22.333
delhi	5310	22.299
spreader	475	21.751
ब	285	21.723
curfew	728	21.159
ज	277	21.145
asymptomatic	616	21.113
vaers	275	21.039
covishield	255	21.026
maharashtra	1165	20.875
breaking	1315	20.741
jandj	249	20.644
telangana	531	20.611
helpline	711	20.556
modiji	251	20.286
bioweapon	285	20.273
âž	244	20.195
virologist	296	20.174
rt	1800	19.955
bihar	803	19.652
ke	632	19.518
salute	1375	19.517
hospitalisation	347	19.462
ई	236	19.434
noida	474	19.359
dose	7092	19.276
nahi	267	19.212
rollout	766	19.178
haryana	594	19.152
outbreak	3801	19.117
sacha	345	19.108
epidemic	2428	19.021
covid-related	257	18.995
bhai	333	18.806
anti-covid	225	18.595
hospitalization	901	18.551
biontech	247	18.547
fmg	248	18.484
ima	406	18.372
karnataka	898	18.311
misinformation	779	18.201
ðÿ1	218	18.199
upsc	318	18.136
uttar	704	18.130
crore	1639	18.033
ndtv	281	17.944
crematorium	383	17.759
ganga	415	17.686
cvs	699	17.530
lmao	343	17.408
â	3540	17.351
sinopharm	210	17.308
walensky	208	17.277
rahul	575	17.163
kenney	399	17.060
ur	1216	17.044
bengaluru	499	16.831
non-covid	207	16.794
icmr	221	16.713
odisha	450	16.672
gain-of-function	212	16.525
kya	268	16.414
hospitalize	762	16.379
mismanagement	474	16.361
flu	2245	16.222
तन_द	192	16.155
urgently	877	16.088
aà	191	16.061
mela	294	15.963
anti-masker	190	15.886
bengal	1222	15.693
india	22942	15.533
atleast	411	15.497
oðÿ	183	15.435
clot	815	15.390
mrna	695	15.323
covax	187	15.293
needy	825	15.198
narendra	536	15.025
gujarat	819	14.938
lab-leak	174	14.734
trudeau	580	14.727
exam	6582	14.708
icus	205	14.699
pcr	782	14.590
o2	677	14.538
tak	295	14.480
sanitizer	364	14.401
ki	688	14.351
ðÿœ	169	14.331
vaxx	169	14.314
ab-positive	168	14.244
lockdowns	172	14.243
nagar	447	14.241
frm	217	14.236
cremation	435	14.235
hospitalise	266	14.203
nhi	204	14.143
bolsonaro	281	14.131
mamata	218	14.086
bbmp	188	13.987
yall	245	13.916
œà	163	13.864
ðÿž	163	13.836
mam	288	13.795
jaam-e-insan	162	13.787
tweet	3314	13.773
cleanliness	560	13.767
vaxed	161	13.672
ipl	405	13.657
coronil	161	13.645
bcoz	173	13.641
surge	2457	13.617
icymi	170	13.371
epidemiologist	299	13.351
asap	700	13.347
œ	174	13.322
