Item	Frequency	Score
corona virus	3734	0.7145880006752807
south korea	3418	0.3615860851938787
social distancing	2774	0.44371429995004635
donald trump	2124	0.38705519258637805
president trump	1851	0.4127891710923845
new york	1606	0.36798100225037345
mike pence	1220	0.20313453528299596
hong kong	1133	0.3072768724430458
joe biden	1124	0.31022737157333186
boris johnson	951	0.29692892319021547
white house	787	0.3261703910662278
washington state	730	0.21037100978977474
tom hanks	704	0.1419734118273514
nancy pelosi	661	0.2320647861369384
coronavirus outbreak	580	1.1304264486939375
los angeles	571	0.2568937231590564
dr. fauci	529	0.4597085069468008
anthony fauci	527	0.2749717097315724
north korea	517	0.29739257212575354
coronavirus cases	510	1.2657824721366755
public health	507	0.5643527583625724
toilet paper	470	0.3498951878713614
social media	451	0.47852435099408186
trump supporters	447	0.14031697158350354
south africa	434	0.34529428864925477
health officials	433	0.4016886509564954
bernie sanders	429	0.2698579199309459
coronavirus testing	427	1.2017461344979206
coronavirus fears	402	0.9131074280200344
confirmed cases	402	0.5683072568239705
coronavirus patients	391	1.0827991419600014
fake news	377	0.3724319426938832
hand sanitizer	355	0.346928952108236
san francisco	351	0.24057544396149289
s. korea	334	0.2085044630347682
no one	326	0.16622294977066931
next week	322	0.409877778367248
coronavirus concerns	319	0.8895684897783943
jared kushner	313	0.16127727336722905
king county	295	0.11134080324984719
combat coronavirus	291	0.49891962839209864
saudi arabia	287	0.20855978293736974
test kits	281	0.4147854161630122
s korea	273	0.23230393995829782
coronavirus bill	272	0.43217491861126456
fox news	271	0.3235898816050307
matt gaetz	263	0.10468498220193279
coronavirus funding	254	0.27303032768271646
mike bloomberg	246	0.09309971110184634
face masks	241	0.36091100872723597
first case	238	0.31687535539067907
sick leave	235	0.3566312205485034
candi cdebaca	234	0.02802355401936895
mitch mcconnell	233	0.16702872896718246
coronavirus pandemic	230	0.9230335791427933
rudy gobert	230	0.06122100811968499
united states	222	0.32477559085249397
new cases	214	0.5887271380676118
death toll	213	0.2982744146588865
north carolina	209	0.09473061489451087
climate change	208	0.25881417630313963
socialized medicine	206	0.07121767804384019
medical supplies	201	0.3733296887086869
nursing homes	200	0.1529971634123636
no information	197	0.016111814811688756
novel coronavirus	194	0.9219715349539597
gui minhai	190	0.08805753564000893
panic buying	188	0.2942610010136706
south carolina	186	0.11910490351012713
coronavirus response	182	0.8709628187026549
speaker pelosi	181	0.11031440337950646
n95 masks	180	0.2683962795166928
irans parliament	180	0.02391732321547236
infectious diseases	179	0.24734006905303535
road crashes	178	0.040161132561206285
interest rates	177	0.09367583393819678
northern italy	176	0.3325461732970052
hillary clinton	176	0.18389583473007845
american lives	174	0.337166166443914
rand paul	173	0.0880125122292376
white people	167	0.17352887492787486
further notice	165	0.28457054278574767
ivanka trump	165	0.07801703150455039
rhode island	164	0.06253695805098279
sick pay	164	0.12708173525861577
physical contact	163	0.07809780916847936
disease control	162	0.22359863962517465
good news	162	0.33393049275267306
new jersey	161	0.22994934489643093
coronavirus vaccine	160	0.369183096364048
don jr	159	0.05273294581521215
coronavirus symptoms	159	0.8907734462610855
puerto rico	159	0.1638967040845577
young people	158	0.4467054190258611
richard burr	158	0.07850157569475452
ted cruz	155	0.05295818423096141
healthcare workers	153	0.33401389513922525
small businesses	152	0.3000521607524711
universal healthcare	150	0.17198332891571783
white girls	150	0.04881425810306203
renewed criticism	146	0.03307146851413509
hibiscus cranberry	145	0.019080706956474805
testing kits	144	0.2397299494793806
surgical mask	143	0.0790633042919992
coronavirus tests	143	0.824332202515358
matt hancock	142	0.1278799046327659
coronavirus crisis	142	0.9426775860970518
health insurance	142	0.3273178484948848
about 3.4%	142	0.012623783192001404
rita wilson	142	0.05741367385005971
sick people	138	0.3319068213022918
kettering hospital	136	0.04194172165251024
vp pence	135	0.10945386827152476
san antonio	135	0.07260725105236458
chronic bronchitis	135	0.050042399876048124
west nile	134	0.12123282568558867
chinese virus	134	0.30507647419034173
close contact	133	0.22401662936400424
chuck todd	132	0.0454416576644105
no audio	132	0.01139708092088755
community spread	130	0.20302698692281648
hand washing	130	0.1710257486856662
prince charles	130	0.06458434294123104
chronic illnesses	129	0.06204952173541371
deadly virus	129	0.11905797652852919
bio weapon	129	0.032494029371236036
andrew cuomo	128	0.20203289349885467
tim kaine	127	0.021750628362867955
alex azar	126	0.1199423429113864
public gatherings	126	0.11782217639757687
travel restrictions	125	0.20807361553538012
new orleans	125	0.18168503773325917
deputy leader	125	0.030607385034645856
community food	125	0.0519684653920471
chuck schumer	124	0.10515280069338664
disabled people	124	0.2720063207744241
south america	123	0.06907015276267624
new funding	123	0.056968189887382434
petty politics	123	0.025192230942572332
common sense	122	0.1576766436106536
china dems	122	0.04933426087745776
various experts	122	0.040153019823547194
blatant manipulation	122	0.02781094993484631
wrong advice	122	0.0216386023563237
ted yoho	122	0.02313373077856795
alcohol-based sanitizer	122	0.019847680446682198
world leaders	121	0.23549636766820695
trump administration	120	0.1934439782497072
price gouging	120	0.13371164106094804
spring break	118	0.15617195421585198
bigbang t.o.p	117	0.016541472795568495
trump rallies	116	0.09798799797446622
swine flu	114	0.2534435888541868
high-risk patients	113	0.040907717468913835
elizabeth warren	113	0.1173480691517221
coronavirus update	113	0.43636625431223897
nuest minhyun	111	0.020000450320187695
mass gatherings	111	0.13461885166458148
ian brownlee	110	0.02690387937750583
real time	110	0.19728313940012787
donald trumps	110	0.1274727142882883
high school	110	0.09136137318588221
health workers	110	0.3176804431068739
self isolation	110	0.18120259751945106
medical experts	108	0.13558739786289734
health care	107	0.3608254003520776
michael osterholm	106	0.027057040211292932
xi jinping	106	0.15831528717181914
communist china	106	0.3949701491012295
intensive care	105	0.1918791295778995
kim chung	104	0.025310115275171508
korea days	104	0.016283637082144815
around 20%	104	0.013702091418213857
bill gates	103	0.2005391422508665
chinese people	102	0.3520785543861047
peoples lives	102	0.15109781717172882
oscar health	102	0.07017586910405713
false information	100	0.1633483952093655
medical professionals	100	0.2649095578457171
loved ones	100	0.2066832995928489
wuhan virus	100	0.21568618547043122
corona beer	99	0.11015217272633263
big pharma	98	0.06401743049119615
coronavirus instructions	98	0.10423476559190603
las vegas	97	0.14047948712647929
sick days	96	0.1955750971332535
human rights	95	0.2147060998978275
political points	94	0.10453612829311079
michael bloomberg	93	0.07255869210533081
coronavirus relief	93	0.2193537681072669
closed doors	92	0.15230579444053294
outbreak proportions	92	0.06938590158067673
south korean	92	0.14286793337422365
mass testing	91	0.22885345473826166
new zealand	91	0.19252914794752357
safe guys	90	0.059143989137113585
fulton county	89	0.04039571958961085
vaccine development	89	0.04313322375365508
trish regan	89	0.057321836294295755
emergency funding	88	0.09794251243852828
westchester county	88	0.08164252995850475
harvey weinstein	88	0.04194395956880682
rent freeze	88	0.03978040711586041
fantastic response	87	0.057636681428987584
unnecessary travel	87	0.044415251252771924
mick mulvaney	86	0.05559110771332937
fear mongering	86	0.04765186951932375
kes positif	85	0.025592336932901544
china pollution	84	0.06539757004761683
seattle area	84	0.09632430024409411
clean funding	84	0.0379281999025743
katie porter	84	0.036535504251281124
healthcare providers	83	0.08803805311091277
wash face	83	0.04853378100177551
asian americans	83	0.17474691801749956
president obama	82	0.12289005223145953
no time	82	0.1070900305247345
human behavior	82	0.047371750775414986
idris elba	82	0.05656546229744544
large crowds	81	0.08190500360681943
self quarantine	81	0.1755204799742668
largest numbers	81	0.04140309773583706
several years	81	0.09442680005200535
gavin newsom	81	0.1105553485433544
mnh entertainment	80	0.01419378442604827
complete chaos	79	0.01834799492563092
asian american	79	0.0588271259342449
mandatory isolation	79	0.03362341950488137
pres trump	79	0.1571655932129927
old people	79	0.33618133182251864
open borders	78	0.11532922550226803
mass hysteria	78	0.10332583891105857
seasonal flu	78	0.12273542200228081
daily updates	78	0.05197182798019684
enough tests	78	0.1748248298112761
no symptoms	78	0.060454249933273765
covid-free april	78	0.016346091708764447
wall street	77	0.12983913064910935
east asian	77	0.03697163601442504
medical equipment	77	0.1959693091746286
donovan mitchell	77	0.046567859665547315
jimmy lai	76	0.0685260798331026
headline news	76	0.02193058343484839
new yorkers	76	0.22619832658334477
china virus	76	0.3632567914834516
first responders	76	0.17954363623414618
nhs staff	76	0.16608164288687338
good luck	75	0.1712233697525668
no way	75	0.047638844957422044
asian-american communities	75	0.03179401024678179
vice president	75	0.12481514526578867
jack ma	75	0.11809146803220438
home order	75	0.1793320700759171
ben carson	74	0.04484045836131577
protective gear	74	0.14897202740735963
us director	74	0.03835566874127716
black women	74	0.058731896354961594
washington democrats	74	0.032992626443104564
general public	73	0.06070362180387341
positive cases	73	0.21829039021811705
american workers	73	0.24111217449598296
deborah birx	73	0.05317507708527544
coronavirus congress	73	0.08054290661391446
sick patients	72	0.08334924006107389
free tests	72	0.05750117251932929
hospital staff	72	0.1299085947725651
black people	72	0.23582300358485728
gift sets	72	0.040902688631483705
mild symptoms	72	0.17886040506078077
neil diamond	71	0.03165740170985638
no cases	71	0.09630371641843327
trumps response	71	0.09728136451064874
house leadership	71	0.025124766066160802
voting machines	71	0.03156700782047188
indias time	71	0.026410365595934543
medical staff	71	0.16960040232149431
up fisa	70	0.03563098815072959
pence briefing	70	0.03707962124817993
debt loaners	70	0.029485472232426632
coronavirus coverage	69	0.21680097092431927
larry kudlow	69	0.07721419001469873
mainland china	69	0.24844346468187561
profit margins	69	0.030706311814300315
cat baths	69	0.03201212514984507
gen z	69	0.03942989718569445
imperative people	68	0.06924207537999882
white women	68	0.042539535952829464
wrong cause	68	0.037204222840597045
personal loyalty	68	0.03186243978341792
another case	68	0.02517264074451786
emergency room	68	0.054486762459387876
huge props	68	0.016752690897327643
tokyo olympics	68	0.01634095766606995
soccer coach	68	0.01731473343224932
bad news	67	0.1809765762105821
free testing	67	0.17276552994237135
regime change	67	0.03989404139280822
modi ji	67	0.09104447179215044
jim jordan	67	0.08955990814961097
don jrs	66	0.020415574428505175
illegal votes	66	0.03087749124311112
pope francis	66	0.05537886867076314
political games	66	0.05560444109768896
different ministries	66	0.02637086176409837
coronavirus guy	66	0.05759090887210509
coronavirus reporters	66	0.057544649453993124
non-mahram folks	66	0.029728324260833355
rent prices	66	0.02601272720937409
armys impact	66	0.02309446313840655
janice hahn	66	0.02302603094958103
official designation	66	0.021925421743396706
fed cut	66	0.02031331124994199
frying pans	66	0.01950714060612454
earth antibodies	66	0.01849281241159005
ambassador birx	66	0.015846509030966287
lavender mango	66	0.015846509030966287
kim tae	66	0.012727521630472464
a. distraction	66	0.012552008624389247
greedy mofos	66	0.011673842182486733
god countries	66	0.01138322366113428
mental illness	66	0.010323539069118901
stock market	65	0.12496400776270329
medical care	65	0.17649705817751893
cost sharing	65	0.03381231211694884
hand sanitiser	65	0.14437196684111683
shameful comments	64	0.04381510164679646
coconut oil	64	0.03808740794129506
houston methodist	64	0.027393991315777844
surgical masks	64	0.13093692243644184
scott morrison	64	0.08877197422747836
late 90s	64	0.03152961596238266
rick santelli	64	0.032011446781956596
homeless people	63	0.12220061299694489
live updates	63	0.14995613077946543
tammy duckworth	63	0.020712095926440372
sri lanka	63	0.1250237815831015
clean power	63	0.060535534673242686
south africans	62	0.11478909555531826
world war	62	0.1013352264661733
hunter biden	62	0.09806102946068673
democrat hysteria	61	0.020383216310914193
new restrictions	61	0.06946039110547622
corona cases	61	0.13302215038617393
mr. president	61	0.2712098372249463
late january	61	0.13636307944506965
san diego	61	0.10478849566970233
jesus name	61	0.09968912225755568
critical condition	60	0.13241333016854817
infected people	60	0.22858501291322902
sean hannity	60	0.09472310098087491
coronavirus lockdown	60	0.5188872146944205
north american	59	0.050874120332433034
large gatherings	59	0.12758797896964028
asian people	59	0.20018121729606903
protective equipment	59	0.17150027910479038
vanessa hudgens	59	0.03135184238594038
e. coli	58	0.02148923866524935
big difference	58	0.03362351894669906
bts army	58	0.037453046137199776
dominican republic	58	0.044741582756664386
tony fauci	58	0.04991407820878632
coronavirus impact	58	0.3361940518419799
new delhi	58	0.11402355727560755
real reform	58	0.022019677332492
fisa process	58	0.02163524312134454
vitamin c	58	0.09037795768171981
johns hopkins	58	0.12948078394184837
trumps lies	58	0.05824367524541049
herd immunity	58	0.15668263609330893
affected areas	57	0.03724592930519416
container volumes	57	0.029282959641681334
several weeks	57	0.09332033506143184
coronavirus panic	57	0.4500499649485439
ancient china	57	0.04481490695548215
abject stupidity	57	0.020185469650190024
bruce aylward	57	0.06276126034883704
npr source	57	0.05948458829059976
shipping operations	56	0.03233234904987849
mrs. miller	56	0.033539039326800135
worse hands	56	0.032009824848179075
ancient egypt	56	0.027943143515085367
baked beans	56	0.02019743384735758
circa 3000bc	56	0.015563367367418719
sumerians circa	56	0.01416044171895179
trumps meeting	56	0.013297398583991656
chris kamara	56	0.012327583250306362
both men	56	0.012176029115276708
hour-long interview	56	0.012128487126729537
dangerous misinformation	56	0.01103419101583097
alcohol-based sanitizers	56	0.010206428193287207
sout korea	56	0.0395088226782143
health insurers	55	0.08655164706545518
coronavirus deaths	55	0.3756456701442404
trumps handling	55	0.0837171128452421
each day	55	0.08795527363858763
yunan province	55	0.05530308257189155
instagram music	54	0.0178211253769056
high crime	54	0.05092360319137197
high taxes	54	0.04757576606149398
non-science folks	54	0.03345813654667247
concert refunds	54	0.025914156862127898
americans confidence	54	0.017209620431087064
maga rallies	54	0.042730876559490386
sick time	54	0.13715352265502428
unintentional injuries	53	0.017975936886286306
everyones health	53	0.012264933049837216
alzheimers disease	53	0.012537234193484067
coronavirus spread	53	0.6117737416999572
good hygiene	53	0.14814375228199947
online classes	53	0.10968780886670922
paid leave	53	0.18201552571654667
jesus christ	53	0.10722169541965021
cuban doctors	53	0.06487964640000987
kelly loeffler	53	0.03860672203926789
essential services	53	0.14166089728039177
coronavirus epidemy	52	0.052849273794252055
bridge korea	52	0.034410657184886756
state department	52	0.029632283342571557
mass infection	52	0.022848535090212774
leading causes	52	0.02005627330987159
japan- exhaustion	52	0.019980040955257735
additional steps	52	0.01932407579037271
police forces	52	0.019158570637041163
foolish statements	52	0.018510814788862275
pandemic position	52	0.018033676610858987
intemperate things	52	0.017993782866886174
crazy talk	52	0.017813788042418455
not hoax	52	0.016124849101250217
coronavirus)in korea	52	0.016096419285178593
foriegn diplomacy	52	0.015558426220108047
infection breaking	52	0.012697661295173386
potuss point	52	0.011965800654925782
wa governor	52	0.011410930748427627
earlier today	52	0.05902790362124298
chris murphy	52	0.07474261306552367
barack obama	52	0.10204135297137393
happy birthday	52	0.04544222473899987
corona patients	52	0.1250380841809332
cruise ship	52	0.09299981965745464
local officials	52	0.10259975996927702
unemployment insurance	52	0.1249488306666959
air pollution	51	0.09517228350897645
tucker carlson	51	0.08684845414609182
robert redfield	50	0.07018247805507477
first death	50	0.1335152086109054
heart disease	50	0.09382451279469949
wuhan china	50	0.1825604810974134
healthcare professionals	50	0.09296714340490828
joe lhota	50	0.05118292303154576
older americans	50	0.07221511048235583
doug collins	50	0.03534351703465756
summer holidays	50	0.02145345922925232
coronavirus patient	49	0.32382416853874874
south koreas	49	0.07010240673775305
matt mccarthy	49	0.024602644756981873
coronavirus disease	49	0.44749684541299095
justin trudeau	49	0.09001253864286195
new rochelle	49	0.07624910199410317
hubei province	49	0.10475850138086912
medical workers	49	0.17367333496715537
richard hatchett	49	0.02586090911388394
nbc news	49	0.10966006758504389
animal crossing	49	0.12861533476567058
uighur muslims	48	0.025782101380706808
health ministry	48	0.12271494465808933
high risk	48	0.20023152060464536
chelsea clinton	48	0.018123952880171747
mitt romney	48	0.09139954927803766
global pandemic	48	0.2515229113153826
harvard university	47	0.08246348770654423
nhs england	47	0.06164682100674684
coronavirus treatment	47	0.33703233499585217
jurgen klopp	47	0.04242662739326526
matt schlapp	47	0.020453318509144957
coronavirus infection	46	0.37784936333760477
la county	46	0.021579320118746498
hospital beds	46	0.11611698964463232
flu-like symptoms	46	0.062401079037091224
travel ban	46	0.08503615301216903
netflix party	46	0.03532653290417523
late december	46	0.05803538251477334
mike lindell	46	0.032890972886230684
coronavirus quarantine	45	0.3689965703040277
pre-existing conditions	45	0.15118157982749264
infectious disease	45	0.058711422658234126
coronavirus briefing	45	0.25614999605985794
trump admin	45	0.13080885642313714
joe bidens	45	0.035525549921879666
ur hands	45	0.13542184760756854
panic-buying novels	45	0.035845897904938015
covid19 patients	45	0.19079136116454098
insider trading	45	0.06290878871055793
abba kyari	45	0.04573978649618462
o.j. simpson	44	0.05948139521441745
good morning	44	0.042984168318564366
no tests	44	0.05087758569584196
jane austen	44	0.037139806933528974
harry potter	44	0.05298039317957731
concentration camps	43	0.08897653553900735
coronavirus prevention	43	0.21098435834016138
social distance	43	0.16890177877470997
ron klain	43	0.050125988254627205
health professionals	43	0.17399950534195863
councilwoman cdebaca	43	0.028491621616375737
great news	43	0.08363633574937002
san marino	43	0.04605520475060129
coronavirus test	43	0.27329370084793697
grocery stores	43	0.12309631003634879
american history	42	0.134461060117011
coronavirus scare	42	0.28947955617163884
hand sanitizers	42	0.16948881762993914
spanish flu	42	0.06753416266424134
west virginia	42	0.05482430153650607
bob shellard	42	0.03375026944482818
sumer months	42	0.039632524501946556
kabir saheb	41	0.025348800808848847
jay inslee	41	0.07640776721781978
sadiq khan	41	0.060860773971300436
rikers island	41	0.1111798437064659
health experts	41	0.16159548435132226
coronavirus pence	41	0.07778477292231735
chinese food	41	0.09103565662325037
free healthcare	41	0.09364855653109755
tom brady	41	0.06038810286832618
jim acosta	40	0.07271883538747179
several days	40	0.11045036887721427
colorado gop	40	0.024420994757307465
racial profiling	40	0.05964774826514906
mid april	40	0.0741089796372508
unknown origin	39	0.02251849078753903
modern history	39	0.0736743700417426
school closures	39	0.10707576842532823
pm modi	39	0.07981794204279238
yangpyeong county	39	0.020781183370755213
poor people	39	0.21004143467708197
us customs	39	0.0622975151838851
montgomery county	39	0.0924299793736812
holy shit	39	0.050869028074648784
public spaces	39	0.09123752888390324
daniele rugani	39	0.035192338318047994
usama riaz	39	0.039698581824415526
intellectual property	38	0.06583704666778097
coronavirus infections	38	0.3396849023288777
goldman sachs	38	0.07895399413565167
crowded places	38	0.11307136980436369
community transmission	38	0.1469946469108763
uncharted territory	38	0.03482464074224486
new hampshire	38	0.04854819065866813
angela merkel	38	0.07589914154474246
jeremy corbyn	38	0.07006842808916763
first day	38	0.13848183246897877
hurricane maria	38	0.030937007548531584
gwu hospital	38	0.036226804164143526
black folks	38	0.06567122071933472
chinese americans	38	0.07365056176144999
italian mayors	38	0.04448779055618355
new protests	37	0.04510046935483977
tax cuts	37	0.122720564262063
economic security	37	0.07718212103622284
john oliver	37	0.046671699324896856
public transport	37	0.1690881688588558
death rate	37	0.16512939535808457
good health	37	0.14606551912158638
taxpayer money	37	0.046878488972255224
shaheen bagh	37	0.08443357310423198
no coronavirus	37	0.17540435217307407
nigel farage	37	0.026163859152397766
complete lockdown	37	0.1436800206934387
whole cities	37	0.047794590650535
gretchen whitmer	37	0.05965803096517157
buckingham palace	37	0.04106813901902779
daily briefings	37	0.053384013477581455
cari amici	37	0.02441724739256318
free access	36	0.09474009189183036
rich people	36	0.21458800269435618
american citizens	36	0.11509524624277445
magical thinking	36	0.05840857054667837
soap work	36	0.05997447839347634
air force	36	0.0430011067177106
no corona	36	0.047575120109857164
special hospitals	36	0.06820641913174852
juan delcan	36	0.039098817860955586
key workers	36	0.12432112541497603
home orders	36	0.17944088675809056
kathy griffin	36	0.04443426629776323
wuhan city	35	0.0667888557804705
test results	35	0.15552911695674113
suspected cases	35	0.1456752304452725
viral shedding	35	0.04876060571897481
drug companies	35	0.042778530254293165
chinese authorities	35	0.12885970351599135
airline ceos	35	0.034286906490125085
corona outbreak	35	0.12282313050069311
coronavirus-related fear	35	0.09339099738573099
medical help	35	0.04658083225364749
scare tactics	35	0.04452742325035713
wuhan coronavirus	35	0.09509764667268987
supreme court	35	0.04743317440635678
pregnant women	35	0.07959057206953091
jared leto	35	0.029957885497564472
global warming	34	0.058515736490819266
new coronavirus	34	0.3324864024924041
chinese scientists	34	0.06777044585154461
greta thunberg	34	0.04920273320279255
hyun bin	34	0.016173015734475327
orange county	34	0.027018985068113528
air travel	34	0.0573115690591455
lombardy -the	34	0.030903910658578056
frank ocean	34	0.05743110791841882
real tactics	34	0.05632749656015651
app store	34	0.06209927099507985
public servants	34	0.05684975986376152
set homework	34	0.05349997837719787
trumps hand	34	0.020471360139371654
supramolecular chemistry	34	0.050525513415425966
kevin durant	34	0.021187644489095797
covid patients	34	0.12450505192915919
conspiracy theories	33	0.08315590713985872
lindsey graham	33	0.07516150010105027
testing capacity	33	0.06865660415746706
public safety	33	0.14649433768419376
vulnerable people	33	0.19491501111676202
no deaths	33	0.049327949442773536
older people	33	0.25796400868179087
exponential growth	33	0.07620731319889525
enough ventilators	33	0.09803567064751852
best practices	33	0.1169029742518865
sophie trudeau	33	0.016184662158337852
jai hind	33	0.0475221566055896
chief keef	33	0.04847414375278429
narendra modi	33	0.07699471398187095
u.s. cdc	32	0.07533531527410534
weeks ago	32	0.053973812373634744
czech republic	32	0.07896228577052428
mike pompeo	32	0.0617292417362979
marco rubio	32	0.056953769524090626
denver democrat	32	0.025659976007433572
coronavirus numbers	32	0.14615339107055608
medical advice	32	0.11846483324984347
strong opposition	32	0.0407985433470328
quick action	32	0.03443073493935413
actual scientists	32	0.03553984420299629
continued lack	32	0.017126699970002865
flight prices	32	0.040851888115072066
public office	32	0.039183012735274886
remote conferences	32	0.038838622819639707
quarantine urselves	32	0.03604402659421325
kai liu	32	0.030956997031145267
abled ppl	32	0.021830755786337766
sebab pm	32	0.02555964723351955
disabled ppl	32	0.020927640411106126
commercial airlines	32	0.03148716308200746
us cases	32	0.06747818534225193
league sources	32	0.055041425541843034
a. trump	32	0.04327299763361658
presidential leadership	32	0.07203458440747497
nadine dorries	32	0.028415366614843583
mr. trump	32	0.18608960064366364
press briefing	32	0.10677927125170417
dianne feinstein	32	0.03255410484723781
cook county	31	0.02416341760685716
decisive action	31	0.11733741093320668
presidential salary	31	0.02625425770788334
nicki minaj	31	0.04081535182300525
calvin klein	31	0.02739520701841955
mac cosmetic	31	0.023939630138292676
hisham hamdan	31	0.020589307039559954
daniel wellington	31	0.018088750637417238
national tv	31	0.10947270858174744
metro manila	31	0.07681259635489894
next year	31	0.13494444244100787
early january	31	0.07615941654165956
trumps fault	31	0.03904744482851713
mark cuban	31	0.03045483470066591
meredith grey	31	0.03850970209265274
snohomish county	30	0.040963352656627865
full capacity	30	0.04676586189022203
coronavirus efforts	30	0.13997701223316447
nyu/langone hospital	30	0.027765800949506314
empty shelves	30	0.06096484565443105
financial markets	30	0.07541333346108192
amazon hq	30	0.011175679260120324
social care	30	0.11252765545413641
closing schools	30	0.1075773209217977
direct contact	30	0.06806339483509197
medical personnel	30	0.10970751937269327
capitol hill	30	0.08534758368132403
bruce wayne	30	0.020565027148815786
eu data	30	0.01623355462925296
certain areas	30	0.03997631713111699
us travelers	30	0.06239929697831907
reston virus	30	0.032014765829323326
allergy season	30	0.026911858910448706
helen chu	30	0.035019407263882044
loan payments	30	0.06388080269194385
bill payments	30	0.06291806233021266
são paulo	30	0.04725297639499152
racist rhetoric	30	0.051862194976533924
tim scott	30	0.04402003342670237
cardi b	30	0.05074605006856271
koko pimentel	30	0.029138083643090052
election day	29	0.10755663681473904
middle east	29	0.06595597948299764
coronavirus fight	29	0.2940196029575378
media hysteria	29	0.048695712880821994
second case	29	0.08370319686031208
health minister	29	0.09209019199223988
medical masks	29	0.12641837750508697
northeast delhi	29	0.024187966696170755
coronavirus information	29	0.23939163360600746
larry hogan	29	0.07631434762355713
insurance companies	29	0.06157382181196642
online shopping	29	0.0339004048720439
bathing suits	29	0.03409018303732372
john bolton	29	0.04574832005515589
al jale	29	0.032877647476934196
heavy rain	29	0.05067090062059718
german scientists	29	0.039940504964790506
coronavirus restrictions	29	0.22506933049412642
animal waste	29	0.04108067498576347
toilet use	29	0.03765869429049306
ron wyden	29	0.041283461032818825
black mirror	29	0.04609685445812694
nitrogen dioxide	28	0.03334356337156395
medical treatment	28	0.05386575731489285
american families	28	0.09718607049070999
iranian regime	28	0.03702652287936757
botched efforts	28	0.03672857251076558
endless wars	28	0.04516531670098123
w/ coronavirus	28	0.16735158292781013
donald trump-congress	28	0.016483673621333295
prince william	28	0.03751606988292431
vacation days	28	0.05668638133226584
cdcs efforts	28	0.021312767072732906
job interview	28	0.06406669802603354
te cuidas	28	0.01864390715642241
infection figures	28	0.04851622526518107
future deaths	28	0.04660156573320432
relief aid	28	0.05361601047611259
