Item	Frequency	Score
covid-19	123002	0.469599600610482
trump	59282	0.495669404267942
covid	58333	0.7711152879877649
people	37932	0.643504928644858
americans	31426	0.3219483338410898
biden	22195	0.3197348302937218
america	17470	0.3047396663094779
coronavirus	17322	0.6142054260396803
china	14798	0.30551543630649247
masks	12567	0.5070027146155632
cdc	12050	0.27790441092458734
lockdown	10491	0.5256370213676711
republicans	10120	0.24434542105819504
millions	9814	0.28064786481057113
american	9222	0.2756540488157194
senate	8616	0.2557069668783888
home	7132	0.4004472329827367
covid19	6634	0.5441890787630593
months	6517	0.38719614799069885
india	6486	0.29049234579848093
u.s.	6363	0.48471049039125597
cases	6264	0.5392959863482438
second	5991	0.26891357663076815
thousands	5915	0.26806714630314166
fauci	5559	0.25799130309860663
democrats	5478	0.2584724041003937
gop	5356	0.265015904838494
deaths	5120	0.4831814973138639
florida	4994	0.2546025974200733
tonight	4460	0.2718689414365155
pandemic	4406	0.7405956239188362
cnn	4403	0.2560845576583559
lives	4213	0.4301465823614746
corona	4207	0.2940082230873886
europe	4017	0.272128107912982
daily	3782	0.2713293799831974
control	3770	0.2794396362494865
work	3677	0.32611948752741715
life	3641	0.42534065305282626
wisconsin	3624	0.24937966476749268
lagos	3447	0.16537426283343937
doctors	3397	0.28756859570561555
things	3390	0.3356500414939318
risk	3277	0.3341668123581441
death	3187	0.49437985444620713
schools	3164	0.37157155083232385
mcconnell	3110	0.23349914569255908
icu	3094	0.25786298326760587
nigeria	3078	0.22187024814517867
staff	3070	0.302725232778304
science	3041	0.29385750056030413
ppe	2998	0.2573672960313158
money	2986	0.30363269261107817
canada	2984	0.25720024511741163
healthcare	2977	0.27250150605068263
patients	2968	0.3677054025819027
pence	2900	0.15829847270401023
england	2840	0.26877923272785464
children	2839	0.3156818036958279
congress	2778	0.2442211012495808
lockdowns	2762	0.5363253585441948
london	2707	0.25643360077095134
wales	2683	0.2498677532615245
quarantine	2669	0.27000999781566504
food	2657	0.2923344520178834
president	2632	0.33498856173396474
access	2620	0.26497385562812514
hundreds	2607	0.2462179434514984
nigerians	2591	0.17310643426315478
johnson	2543	0.2631900745239581
hicks	2525	0.06503077641297784
france	2508	0.24609543984072527
sweden	2506	0.2369979140148513
texas	2500	0.2546306863765283
republican	2437	0.24315781991855806
school	2405	0.36747387894229105
hospitals	2377	0.35564206685887
care	2358	0.36209234612647684
god	2337	0.2527365742693435
twitter	2314	0.2526128151737238
barrett	2260	0.2409822630780255
place	2230	0.32031892562073233
palliatives	2185	0.10984729424183864
years	2164	0.4379383096458031
students	2151	0.3181803937933275
families	2084	0.35305190072897735
minnesota	2083	0.22993731339910795
women	2076	0.30886935972508683
hospital	2074	0.3372890230970658
government	2061	0.3794181583088284
scientists	2049	0.28270628523688357
weeks	2044	0.4377346741721571
health	2024	0.4047562657102748
chinese	2009	0.25173884288965787
nhs	1999	0.2685225033351354
testing	1999	0.33547386872288165
symptoms	1988	0.2890205878259279
office	1987	0.2974912255073249
endsars	1959	0.1506746056972117
kids	1953	0.2902366968721172
germany	1912	0.249772401203413
mask	1908	0.5350326490951944
scotland	1874	0.2668684807865286
businesses	1859	0.3211312092360559
michigan	1849	0.25593425757143307
obama	1835	0.24214275730379103
donald	1828	0.2535448975516923
joe	1799	0.24671434156584687
california	1791	0.25071058575444904
relief	1778	0.2835585585626472
friends	1763	0.2851289421876234
support	1717	0.3000947728922362
power	1715	0.2715173627087535
contact	1692	0.2738808097546045
taxes	1682	0.24813976708127855
taiwan	1668	0.14703400241923115
fear	1638	0.29141056578807584
christmas	1628	0.2681220921357361
politics	1621	0.26453764023447557
jobs	1613	0.35641115809690105
september	1592	0.27104964619772803
pelosi	1585	0.21039602605576677
days	1568	0.5002020138527132
russia	1546	0.24544927850568296
winter	1545	0.2627403231220639
italy	1519	0.22328130913262448
harris	1504	0.14912792527941174
trace	1477	0.24544755739894902
washington	1475	0.25901964771978586
vote	1459	0.26415452250710547
house	1458	0.2601493291147224
fda	1453	0.2252806759958374
restrictions	1448	0.32525180969731016
data	1400	0.28668504242222986
experts	1400	0.2827523214690545
family	1396	0.35971130525344325
medicine	1393	0.16376104996875132
leadership	1385	0.2642246303025826
decades	1379	0.24045851234264212
vietnam	1351	0.1703025637455588
virus	1344	0.4593764751246046
night	1341	0.29282626149814717
australia	1339	0.26140713782099495
order	1329	0.2812079400766963
poverty	1318	0.23917646644801446
half	1301	0.254588806844248
help	1286	0.2620878706221945
aca	1285	0.23984694650378552
usa	1285	0.27288701328104775
police	1278	0.27417757733269243
cuomo	1277	0.2277593071065922
halloween	1277	0.21483695169384842
wuhan	1276	0.2639476432680643
abuja	1273	0.13350372009589104
nyc	1263	0.257214793599637
history	1226	0.27820047357291
sars	1219	0.22884564966764379
restaurants	1214	0.27703385359960503
voters	1210	0.26800968863324853
attention	1208	0.23386112306351176
case	1201	0.5335129719537575
states	1192	0.352092108727483
news	1186	0.31130235833294617
graham	1181	0.07008821452420519
test	1171	0.3942367781659967
vaccines	1166	0.3811750798007951
britain	1165	0.2222977432806726
course	1155	0.24833279789391272
workers	1147	0.30926327720920244
nba	1132	0.05899838367051679
ireland	1120	0.24366443002790927
arizona	1115	0.21509388637221366
treatment	1105	0.2953269969129281
flu	1103	0.3146986666829743
fact	1086	0.285094872750477
response	1078	0.3411458089695007
potus	1054	0.10756254029559484
manchester	1046	0.14017759417579753
spain	1043	0.20006587513989255
lies	1029	0.2987507508646408
infections	1026	0.3347214409736798
law	1024	0.2700139030926696
iowa	1020	0.19931417613990696
sabah	1012	0.17789646108047497
state	1006	0.36185299528606524
evidence	999	0.25405024329245485
hope	995	0.22210618791415
infection	992	0.3378017757292346
action	989	0.2673605529098974
hospitalizations	944	0.23830666002024062
parents	939	0.2389198287239676
questions	929	0.2729205486354486
ontario	926	0.2626616725358477
democrat	919	0.21846911377326375
billions	916	0.19794451174784777
pakistan	915	0.17821057277214208
election	912	0.36084070138120083
hands	911	0.3041432944596067
govt	911	0.2760978279003258
victoria	910	0.18301495002587628
folks	908	0.23697178371424008
utah	908	0.19851568336080158
sense	906	0.2428795385577577
earth	905	0.20162953025988947
charge	903	0.24233411434724483
business	893	0.33607674635085094
cancer	892	0.25560491235459964
nurses	887	0.20759031690945545
rallies	887	0.24474634620866814
members	886	0.17110125399956866
jimin	884	0.029033036436384666
nigerian	872	0.1622936435828651
safety	870	0.28009441818230807
public	867	0.2583472404855204
lots	864	0.25378613986034143
brazil	854	0.19251507145912808
protesters	851	0.0892992531192145
malaysia	847	0.1568054906916367
melbourne	832	0.2051300511455369
media	830	0.2831981826248624
hours	827	0.28549168582941203
japan	826	0.23134670534715732
water	819	0.21459759336123488
bihar	819	0.11738669732272822
thanks	809	0.262333553998036
empathy	809	0.116831517341541
kentucky	809	0.12925452683633298
conley	800	0.06707130765446022
citizens	795	0.1863071304653726
indomie	790	0.07411665378958059
times	786	0.44520227380534416
hydroxychloroquine	786	0.1365295337739843
economy	781	0.28652830405678764
bemidji	774	0.06063813731802019
nevada	770	0.0862331134393889
fun	768	0.15352994638206446
immunity	768	0.22379208643184387
drugs	768	0.13168990224131066
british	766	0.21562386367082745
tests	765	0.39298490435658767
misinformation	761	0.20825804296050282
isolation	761	0.2509810538233137
need	757	0.25619778155880873
seniors	757	0.16085461387860553
melania	745	0.1058801028288172
teachers	744	0.2509320912923862
brexit	739	0.23126759544842615
canadians	738	0.22208152574419937
nbc	728	0.11097085050392827
texans	725	0.12263748319907727
unemployment	722	0.2374842481658327
ohio	712	0.2097704244596756
indiana	711	0.10041921529738287
liverpool	706	0.15755153130227373
information	706	0.21105524527140368
line	705	0.2432841841277532
humanity	704	0.2547874323103108
education	701	0.2464793467724541
transmission	700	0.23500988795870123
obamacare	696	0.14051193811524199
nfl	695	0.12745686714422533
sources	688	0.15530215841333694
politicians	686	0.22726005575149133
numbers	682	0.3105686464048146
vaccine	680	0.3140980368867558
delhi	669	0.19589109800760865
bars	668	0.2373755570271119
protests	667	0.13688174497209513
pennsylvania	661	0.18305918828639633
sept	660	0.1990718463242099
ppl	658	0.22950336063067267
shit	655	0.28794890743321294
employees	651	0.18371600192150472
society	649	0.267310230785414
dems	643	0.16830638421468314
study	641	0.19403905983391612
amazon	640	0.14625702784214586
lack	637	0.25271243834145374
man	631	0.24225569990780368
chief	628	0.1324773565706041
tier	628	0.15472998872108248
age	624	0.18441356509975446
leaders	619	0.22956288202048286
russian	618	0.1603239414720304
mail	614	0.1733575737518479
toronto	613	0.22219287727692705
medicare	610	0.1846395901866242
detroit	606	0.039619508524254644
english	604	0.19290001325026998
pneumonia	591	0.12234026377601147
boris	589	0.13693893038083824
voting	587	0.1789835100999927
thanksgiving	587	0.17344348258501915
context	584	0.048083326594997325
failure	582	0.1810600676939276
date	578	0.23995880341321682
lindsey	577	0.03224081456191876
hell	568	0.20567418248197303
oba	566	0.03219299956674773
ccp	564	0.19657716097048164
scotus	563	0.11545262807826213
head	558	0.10493955256478256
hannity	557	0.04348950044335839
countries	556	0.3254390484117182
events	555	0.1743787317879869
georgia	554	0.16054925687768085
results	553	0.2031591650041893
facebook	546	0.1542897072269164
regeneron	545	0.07472150050996468
atlas	545	0.06261529340218354
rules	544	0.2430634646363842
communities	543	0.25259337557581485
debate	541	0.1652374649717449
dozens	540	0.1385940429760016
supporters	540	0.09888155139581349
h1n1	539	0.0903758688835549
hunger	538	0.1301851863162249
steroids	537	0.07198413298500093
danger	536	0.13269212814312345
love	535	0.19811815869969363
facts	531	0.2122054107045164
prison	524	0.1881305541307762
thailand	524	0.07785333167916585
prayers	518	0.09265064686036337
livelihoods	510	0.17376877763856818
africa	507	0.21726669252710004
officials	507	0.20091362238923935
alabama	506	0.09734893200240463
bjp	506	0.09889101433376377
reporters	504	0.10519544060057315
summer	503	0.1570716745942663
afghanistan	501	0.09102921436739503
kushner	497	0.0864900945387748
light	496	0.14499169754750232
cages	494	0.07071789961672448
tbd	493	0.023289191338689615
dexamethasone	493	0.05075401332048554
responsibility	492	0.17470978931184097
dollars	490	0.09111056221049613
plans	484	0.21396656711646783
indian	478	0.2004642811000859
exposure	475	0.11900947069474856
lee	472	0.09074462102538314
travel	470	0.16463698222043371
residents	469	0.17233318849542645
track	468	0.17882392481791523
democracy	464	0.187331747981469
remdesivir	464	0.0933421039647271
barr	463	0.05943648260477205
plasma	461	0.18855205424407678
depression	460	0.11786479529057643
abc	457	0.08687941228786956
