Year	Sample	Keyword	Score	Sample	Keyword	Score
0.1_percent	2020	social distancing	7.426	1_percent	social distancing	7.4664
0.1_percent	2020	corona virus	4.6265	1_percent	corona virus	4.9317
0.1_percent	2020	coronavirus outbreak	3.8403	1_percent	coronavirus outbreak	3.6849
0.1_percent	2020	public health	3.5295	1_percent	new case	3.414
0.1_percent	2020	new case	3.4168	1_percent	public health	3.3963
0.1_percent	2020	coronavirus case	3.3196	1_percent	coronavirus case	3.2646
0.1_percent	2020	wuhan coronavirus	3.1562	1_percent	covid-19 case	2.8855
0.1_percent	2020	covid-19 case	2.8592	1_percent	covid-19 pandemic	2.7832
0.1_percent	2020	death toll	2.7614	1_percent	death toll	2.6946
0.1_percent	2020	international concern	2.737	1_percent	coronavirus pandemic	2.6431
0.1_percent	2020	coronavirus pandemic	2.7037	1_percent	wuhan coronavirus	2.5992
0.1_percent	2020	united states	2.692	1_percent	confirmed case	2.497
0.1_percent	2020	covid-19 pandemic	2.6857	1_percent	covid case	2.4279
0.1_percent	2020	confirmed case	2.586	1_percent	united states	2.328
0.1_percent	2020	covid case	2.5748	1_percent	covid death	2.3198
0.1_percent	2020	president trump	2.5463	1_percent	international concern	2.317
0.1_percent	2020	emergency of international concern	2.474	1_percent	global pandemic	2.3055
0.1_percent	2020	covid death	2.4607	1_percent	covid-19 vaccine	2.3017
0.1_percent	2020	health emergency of international concern	2.421	1_percent	new coronavirus	2.2886
0.1_percent	2020	global pandemic	2.4137	1_percent	president trump	2.2035
0.1_percent	2020	white house	2.3764	1_percent	face mask	2.2029
0.1_percent	2020	covid-19 vaccine	2.3177	1_percent	novel coronavirus	2.1328
0.1_percent	2020	health care	2.2597	1_percent	health care	2.1203
0.1_percent	2020	nursing home	2.258	1_percent	nursing home	2.0962
0.1_percent	2020	new coronavirus	2.2294	1_percent	white house	2.0823
0.1_percent	2020	donald trump	2.2267	1_percent	many people	2.0785
0.1_percent	2020	face mask	2.2216	1_percent	global health emergency	2.0725
0.1_percent	2020	suspected case	2.2077	1_percent	covid vaccine	2.0447
0.1_percent	2020	novel #coronavirus	2.2064	1_percent	hubei province	2.0007
0.1_percent	2020	global health emergency	2.2055	1_percent	chinese city	1.9755
0.1_percent	2020	covid vaccine	2.1901	1_percent	social distance	1.958
0.1_percent	2020	covid relief	2.1775	1_percent	coronavirus death	1.9483
0.1_percent	2020	hong kong	2.1767	1_percent	emergency of international concern	1.945
0.1_percent	2020	novel coronavirus	2.1186	1_percent	hong kong	1.9234
0.1_percent	2020	hubei province	2.1157	1_percent	donald trump	1.9223
0.1_percent	2020	ðÿ ̃	2.1119	1_percent	case of coronavirus	1.9181
0.1_percent	2020	coronavirus death	2.0731	1_percent	covid test	1.916
0.1_percent	2020	middle of a pandemic	2.0529	1_percent	british airways	1.906
0.1_percent	2020	cruise ship	2.0497	1_percent	suspected case	1.8923
0.1_percent	2020	case of coronavirus	2.0487	1_percent	health emergency of international concern	1.891
0.1_percent	2020	covid test	2.0148	1_percent	china coronavirus	1.8785
0.1_percent	2020	many people	1.9867	1_percent	other country	1.8724
0.1_percent	2020	other country	1.9383	1_percent	last week	1.8678
0.1_percent	2020	trump administration	1.9361	1_percent	health official	1.8519
0.1_percent	2020	last week	1.9266	1_percent	second wave	1.8388
0.1_percent	2020	case of #coronavirus	1.9107	1_percent	middle of a pandemic	1.8241
0.1_percent	2020	social distance	1.9082	1_percent	coronavirus vaccine	1.8202
0.1_percent	2020	south korea	1.9058	1_percent	small business	1.8098
0.1_percent	2020	wuhan citizen	1.895	1_percent	covid relief	1.803
