Year	Sample	Keyword	Score	Sample	Keyword	Score
0.1_percent	2021	covid vaccine	490.7001	1_percent	covid-19 vaccine	5.8099
0.1_percent	2021	omicron variant	447.028	1_percent	covid vaccine	5.808
0.1_percent	2021	covid-19 vaccine	318.7912	1_percent	omicron variant	5.0335
0.1_percent	2021	covid case	251.1886	1_percent	covid case	3.6458
0.1_percent	2021	covid death	241.4377	1_percent	social distancing	3.2372
0.1_percent	2021	vaccine mandate	216.6214	1_percent	covid death	3.2106
0.1_percent	2021	delta variant	194.9513	1_percent	delta variant	3.0126
0.1_percent	2021	covid test	156.8913	1_percent	vaccine mandate	2.8827
0.1_percent	2021	covid patient	147.4868	1_percent	new case	2.7933
0.1_percent	2021	covid relief	137.4598	1_percent	covid-19 case	2.7537
0.1_percent	2021	covid as weapon	137.013	1_percent	covid test	2.6355
0.1_percent	2021	vaccine passport	136.5095	1_percent	covid-19 pandemic	2.5458
0.1_percent	2021	covid-19 vaccination	126.4368	1_percent	public health	2.5301
0.1_percent	2021	mask mandate	105.4531	1_percent	covid patient	2.3462
0.1_percent	2021	omicron case	101.718	1_percent	covid-19 vaccination	2.3118
0.1_percent	2021	vaccinated people	91.0909	1_percent	covid as weapon	2.272
0.1_percent	2021	covid vaccination	90.1674	1_percent	covid relief	2.0639
0.1_percent	2021	military dictatorship	90.064	1_percent	vaccine passport	2.0306
0.1_percent	2021	relief bill	89.7207	1_percent	global pandemic	2.0144
0.1_percent	2021	covid-19 case	89.4976	1_percent	omicron case	1.967
0.1_percent	2021	covid restriction	85.8942	1_percent	last year	1.9563
0.1_percent	2021	natural immunity	82.8985	1_percent	mask mandate	1.892
0.1_percent	2021	colin powell	78.934	1_percent	vaccinated people	1.8688
0.1_percent	2021	vaccine dose	75.7742	1_percent	covid restriction	1.8621
0.1_percent	2021	new variant	72.5526	1_percent	board exam	1.8577
0.1_percent	2021	booster shot	70.6299	1_percent	covid vaccination	1.8531
0.1_percent	2021	long covid	70.1261	1_percent	colin powell	1.821
0.1_percent	2021	global pandemic	69.9453	1_percent	new variant	1.819
0.1_percent	2021	relief package	69.11	1_percent	long covid	1.8113
0.1_percent	2021	covid relief bill	68.1013	1_percent	vaccine dose	1.7895
0.1_percent	2021	wuhan lab	66.4013	1_percent	mental health	1.7437
0.1_percent	2021	coronavirus vaccine	64.8031	1_percent	relief bill	1.7398
0.1_percent	2021	board exam	63.8443	1_percent	blood group	1.7225
0.1_percent	2021	unvaccinated people	63.0906	1_percent	covid relief bill	1.7083
0.1_percent	2021	covid passport	62.8651	1_percent	new year	1.7017
0.1_percent	2021	president biden	62.2809	1_percent	christmas party	1.701
0.1_percent	2021	social distancing	60.0379	1_percent	boris johnson	1.6901
0.1_percent	2021	aaron rodgers	59.17	1_percent	coronavirus vaccine	1.6805
0.1_percent	2021	christmas party	57.333	1_percent	wearing mask	1.678
0.1_percent	2021	new case	55.5599	1_percent	death toll	1.6765
0.1_percent	2021	omicron wave	54.729	1_percent	natural immunity	1.6763
0.1_percent	2021	covid pandemic	54.3533	1_percent	booster shot	1.6708
0.1_percent	2021	covid infection	53.6188	1_percent	corona virus	1.6527
0.1_percent	2021	covid variant	53.4628	1_percent	dose2 capacity	1.6443
0.1_percent	2021	patient name	53.048	1_percent	dose1 capacity	1.6443
0.1_percent	2021	corona virus	52.8425	1_percent	min age limit	1.6443
0.1_percent	2021	covid-19 death	51.8502	1_percent	side effect	1.6421
0.1_percent	2021	blood group	51.499	1_percent	pin code	1.642
0.1_percent	2021	wearing mask	50.2196	1_percent	south africa	1.6362
0.1_percent	2021	omicron spread	49.899	1_percent	active case	1.6231
0.1_percent	2021	covid shot	49.1282	1_percent	loved one	1.6204
0.1_percent	2021	indian variant	47.78	1_percent	death rate	1.6132
0.1_percent	2021	vaccination rate	47.736	1_percent	coronavirus case	1.6119
0.1_percent	2021	covid bill	47.2593	1_percent	military dictatorship	1.61
0.1_percent	2021	dose1 capacity	46.8867	1_percent	many people	1.5922
0.1_percent	2021	dose2 capacity	46.8867	1_percent	aaron rodgers	1.585
0.1_percent	2021	min age limit	46.879	1_percent	covid pandemic	1.5663
0.1_percent	2021	covid crisis	46.8789	1_percent	patient name	1.5655
0.1_percent	2021	boris johnson	46.772	1_percent	blood component	1.5556
0.1_percent	2021	case of omicron	46.5335	1_percent	herd immunity	1.5487
0.1_percent	2021	biden administration	46.5187	1_percent	nursing home	1.5478
0.1_percent	2021	covid protocol	46.3275	1_percent	second wave	1.5469
0.1_percent	2021	omicron infection	46.277	1_percent	first dose	1.5446
0.1_percent	2021	vaccine rollout	46.1063	1_percent	healthcare worker	1.5388
0.1_percent	2021	blood component	45.9044	1_percent	face mask	1.5372
0.1_percent	2021	new omicron	45.7535	1_percent	pmc p	1.535
